"","source","target"
"4431","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4432","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4433","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4434","Destruction/Damage/Vandalism of Property","Intimidation"
"4435","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4436","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4437","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4438","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4439","Drug/Narcotic Violations","Weapon Law Violations"
"4440","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4441","Hacking/Computer Invasion","Identity Theft"
"4442","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4443","Destruction/Damage/Vandalism of Property","Simple Assault"
"4444","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4445","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4446","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4447","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4448","Destruction/Damage/Vandalism of Property","Shoplifting"
"4449","Weapon Law Violations","Drug/Narcotic Violations"
"4450","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4451","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4452","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4453","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4454","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"4455","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4456","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4457","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"4458","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4459","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4460","Drug/Narcotic Violations","Simple Assault"
"4461","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4462","Weapon Law Violations","Intimidation"
"4463","Weapon Law Violations","Drug/Narcotic Violations"
"4464","Intimidation","Drug/Narcotic Violations"
"4465","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4466","Destruction/Damage/Vandalism of Property","Simple Assault"
"4467","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4468","Drug/Narcotic Violations","Weapon Law Violations"
"4469","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4470","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4471","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4472","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4473","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4474","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"4475","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4476","Intimidation","All Other Larceny"
"4477","Simple Assault","Destruction/Damage/Vandalism of Property"
"4478","Simple Assault","Destruction/Damage/Vandalism of Property"
"4479","Simple Assault","All Other Larceny"
"4480","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"4481","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4482","Simple Assault","All Other Larceny"
"4483","Theft From Building","Motor Vehicle Theft"
"4484","Simple Assault","Destruction/Damage/Vandalism of Property"
"4485","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4486","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4487","Drug/Narcotic Violations","Weapon Law Violations"
"4488","Destruction/Damage/Vandalism of Property","Murder and Nonnegligent Manslaughter"
"4489","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4490","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4491","Stolen Property Offenses","Counterfeiting/Forgery"
"4492","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4493","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4494","Weapon Law Violations","Simple Assault"
"4495","Weapon Law Violations","Drug/Narcotic Violations"
"4496","Simple Assault","Drug/Narcotic Violations"
"4497","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4498","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4499","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4500","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4501","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4502","Drug/Narcotic Violations","Weapon Law Violations"
"4503","Drug/Narcotic Violations","Stolen Property Offenses"
"4504","Weapon Law Violations","Stolen Property Offenses"
"4505","Theft From Building","Simple Assault"
"4506","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4507","Drug/Narcotic Violations","Weapon Law Violations"
"4508","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4509","Weapon Law Violations","Drug/Narcotic Violations"
"4510","Weapon Law Violations","Stolen Property Offenses"
"4511","Drug/Narcotic Violations","Weapon Law Violations"
"4512","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4513","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4514","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4515","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4516","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4517","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4518","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4519","Simple Assault","Destruction/Damage/Vandalism of Property"
"4520","Pornography/Obscene Material","Intimidation"
"4521","Weapon Law Violations","Intimidation"
"4522","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4523","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4524","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4525","Robbery","Weapon Law Violations"
"4526","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4527","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4528","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4529","Intimidation","All Other Larceny"
"4530","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4531","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4532","Weapon Law Violations","Drug/Narcotic Violations"
"4533","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4534","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"4535","Weapon Law Violations","Drug/Narcotic Violations"
"4536","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4537","Destruction/Damage/Vandalism of Property","Intimidation"
"4538","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4539","Drug/Narcotic Violations","Rape"
"4540","Simple Assault","Drug Equipment Violations"
"4541","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4542","Robbery","Destruction/Damage/Vandalism of Property"
"4543","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4544","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4545","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4546","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4547","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4548","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4549","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4550","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4551","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4552","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4553","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4554","Simple Assault","Destruction/Damage/Vandalism of Property"
"4555","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4556","Simple Assault","All Other Larceny"
"4557","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4558","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4559","Weapon Law Violations","Stolen Property Offenses"
"4560","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4561","All Other Larceny","Simple Assault"
"4562","Simple Assault","All Other Larceny"
"4563","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4564","Simple Assault","Destruction/Damage/Vandalism of Property"
"4565","Drug/Narcotic Violations","Weapon Law Violations"
"4566","Destruction/Damage/Vandalism of Property","Murder and Nonnegligent Manslaughter"
"4567","Aggravated Assault","Weapon Law Violations"
"4568","Aggravated Assault","Simple Assault"
"4569","Weapon Law Violations","Aggravated Assault"
"4570","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4571","Intimidation","Simple Assault"
"4572","Simple Assault","Destruction/Damage/Vandalism of Property"
"4573","Intimidation","Drug/Narcotic Violations"
"4574","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4575","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4576","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"4577","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4578","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4579","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4580","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4581","Drug/Narcotic Violations","Simple Assault"
"4582","Drug/Narcotic Violations","Weapon Law Violations"
"4583","Drug/Narcotic Violations","Destruction/Damage/Vandalism of Property"
"4584","Simple Assault","Weapon Law Violations"
"4585","Simple Assault","Destruction/Damage/Vandalism of Property"
"4586","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4587","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4588","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4589","Destruction/Damage/Vandalism of Property","Intimidation"
"4590","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4591","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4592","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4593","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"4594","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4595","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4596","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4597","Simple Assault","Destruction/Damage/Vandalism of Property"
"4598","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4599","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4600","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4601","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4602","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4603","Weapon Law Violations","Drug/Narcotic Violations"
"4604","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4605","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4606","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"4607","Motor Vehicle Theft","All Other Larceny"
"4608","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4609","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4610","Weapon Law Violations","Drug/Narcotic Violations"
"4611","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4612","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4613","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4614","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4615","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4616","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4617","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4618","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4619","Simple Assault","Destruction/Damage/Vandalism of Property"
"4620","Simple Assault","Destruction/Damage/Vandalism of Property"
"4621","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4622","Simple Assault","Destruction/Damage/Vandalism of Property"
"4623","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4624","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"4625","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4626","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4627","Robbery","Stolen Property Offenses"
"4628","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4629","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4630","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4631","Weapon Law Violations","Simple Assault"
"4632","Destruction/Damage/Vandalism of Property","Simple Assault"
"4633","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4634","Motor Vehicle Theft","Theft From Motor Vehicle"
"4635","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4636","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4637","Stolen Property Offenses","Weapon Law Violations"
"4638","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4639","Aggravated Assault","Weapon Law Violations"
"4640","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4641","Simple Assault","Destruction/Damage/Vandalism of Property"
"4642","Simple Assault","Destruction/Damage/Vandalism of Property"
"4643","Intimidation","Destruction/Damage/Vandalism of Property"
"4644","Intimidation","All Other Larceny"
"4645","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4646","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4647","Simple Assault","Destruction/Damage/Vandalism of Property"
"4648","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4649","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4650","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4651","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4652","Intimidation","All Other Larceny"
"4653","Theft From Building","Destruction/Damage/Vandalism of Property"
"4654","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4655","Intimidation","Theft From Building"
"4656","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4657","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4658","Hacking/Computer Invasion","All Other Larceny"
"4659","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4660","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4661","Drug/Narcotic Violations","Drug Equipment Violations"
"4662","Weapon Law Violations","Drug/Narcotic Violations"
"4663","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4664","Simple Assault","Destruction/Damage/Vandalism of Property"
"4665","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4666","Weapon Law Violations","Stolen Property Offenses"
"4667","Motor Vehicle Theft","Theft From Motor Vehicle"
"4668","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4669","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4670","Intimidation","Simple Assault"
"4671","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4672","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4673","Simple Assault","Shoplifting"
"4674","Theft From Building","Destruction/Damage/Vandalism of Property"
"4675","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4676","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"4677","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4678","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4679","Simple Assault","All Other Larceny"
"4680","All Other Larceny","Simple Assault"
"4681","Counterfeiting/Forgery","False Pretenses/Swindle/Confidence Game"
"4682","Weapon Law Violations","Intimidation"
"4683","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4684","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4685","Weapon Law Violations","Drug/Narcotic Violations"
"4686","Simple Assault","Destruction/Damage/Vandalism of Property"
"4687","Weapon Law Violations","Drug/Narcotic Violations"
"4688","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"4689","Simple Assault","Destruction/Damage/Vandalism of Property"
"4690","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4691","Weapon Law Violations","Drug/Narcotic Violations"
"4692","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4693","Weapon Law Violations","Drug/Narcotic Violations"
"4694","Aggravated Assault","All Other Larceny"
"4695","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"4696","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4697","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"4698","Weapon Law Violations","Intimidation"
"4699","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4700","Simple Assault","Destruction/Damage/Vandalism of Property"
"4701","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"4702","Simple Assault","All Other Larceny"
"4703","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4704","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4705","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4706","Weapon Law Violations","Drug/Narcotic Violations"
"4707","Aggravated Assault","Drug Equipment Violations"
"4708","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4709","Weapon Law Violations","Drug/Narcotic Violations"
"4710","Weapon Law Violations","Drug/Narcotic Violations"
"4711","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4712","Intimidation","All Other Larceny"
"4713","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4714","Hacking/Computer Invasion","All Other Larceny"
"4715","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4716","Credit Card/Automated Teller Machine Fraud","Motor Vehicle Theft"
"4717","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4718","Counterfeiting/Forgery","All Other Larceny"
"4719","Weapon Law Violations","Simple Assault"
"4720","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4721","Destruction/Damage/Vandalism of Property","Simple Assault"
"4722","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4723","Intimidation","Destruction/Damage/Vandalism of Property"
"4724","Simple Assault","Destruction/Damage/Vandalism of Property"
"4725","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4726","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4727","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4728","Counterfeiting/Forgery","All Other Larceny"
"4729","Counterfeiting/Forgery","False Pretenses/Swindle/Confidence Game"
"4730","All Other Larceny","False Pretenses/Swindle/Confidence Game"
"4731","Stolen Property Offenses","Drug/Narcotic Violations"
"4732","Destruction/Damage/Vandalism of Property","Theft From Building"
"4733","Weapon Law Violations","Simple Assault"
"4734","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4735","Intimidation","All Other Larceny"
"4736","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4737","Drug Equipment Violations","Drug/Narcotic Violations"
"4738","Drug Equipment Violations","All Other Larceny"
"4739","Drug/Narcotic Violations","All Other Larceny"
"4740","Simple Assault","All Other Larceny"
"4741","All Other Larceny","Intimidation"
"4742","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4743","Intimidation","Destruction/Damage/Vandalism of Property"
"4744","Simple Assault","Shoplifting"
"4745","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4746","Weapon Law Violations","Intimidation"
"4747","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4748","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4749","Weapon Law Violations","Intimidation"
"4750","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4751","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4752","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4753","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"4754","Simple Assault","All Other Larceny"
"4755","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4756","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4757","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4758","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"4759","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4760","Motor Vehicle Theft","Theft From Motor Vehicle"
"4761","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4762","All Other Larceny","Simple Assault"
"4763","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"4764","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"4765","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"4766","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4767","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4768","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4769","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4770","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4771","All Other Larceny","Destruction/Damage/Vandalism of Property"
"4772","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4773","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4774","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4775","All Other Larceny","Simple Assault"
"4776","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4777","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4778","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4779","Aggravated Assault","Theft of Motor Vehicle Parts or Accessories"
"4780","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4781","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4782","Weapon Law Violations","Simple Assault"
"4783","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4784","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4785","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4786","Theft From Motor Vehicle","Weapon Law Violations"
"4787","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4788","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4789","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4790","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4791","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4792","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4793","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4794","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4795","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4796","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4797","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4798","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4799","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4800","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4801","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4802","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4803","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4804","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4805","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"4806","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4807","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4808","All Other Larceny","Simple Assault"
"4809","All Other Larceny","Hacking/Computer Invasion"
"4810","Destruction/Damage/Vandalism of Property","Simple Assault"
"4811","Destruction/Damage/Vandalism of Property","Simple Assault"
"4812","Drug/Narcotic Violations","Weapon Law Violations"
"4813","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4814","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4815","Aggravated Assault","Simple Assault"
"4816","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4817","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4818","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4819","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4820","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4821","Intimidation","Shoplifting"
"4822","Destruction/Damage/Vandalism of Property","Simple Assault"
"4823","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4824","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4825","Destruction/Damage/Vandalism of Property","Simple Assault"
"4826","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4827","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4828","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4829","Robbery","Kidnapping/Abduction"
"4830","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4831","Shoplifting","Weapon Law Violations"
"4832","Destruction/Damage/Vandalism of Property","Intimidation"
"4833","Destruction/Damage/Vandalism of Property","Simple Assault"
"4834","Murder and Nonnegligent Manslaughter","Aggravated Assault"
"4835","Destruction/Damage/Vandalism of Property","Simple Assault"
"4836","Weapon Law Violations","Drug/Narcotic Violations"
"4837","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"4838","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4839","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4840","Stolen Property Offenses","Weapon Law Violations"
"4841","Destruction/Damage/Vandalism of Property","Intimidation"
"4842","Weapon Law Violations","Drug/Narcotic Violations"
"4843","Drug/Narcotic Violations","Counterfeiting/Forgery"
"4844","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4845","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4846","Aggravated Assault","All Other Larceny"
"4847","Destruction/Damage/Vandalism of Property","Simple Assault"
"4848","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4849","All Other Larceny","Motor Vehicle Theft"
"4850","Drug/Narcotic Violations","Weapon Law Violations"
"4851","All Other Larceny","Simple Assault"
"4852","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4853","Aggravated Assault","Simple Assault"
"4854","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4855","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4856","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4857","Murder and Nonnegligent Manslaughter","Destruction/Damage/Vandalism of Property"
"4858","Murder and Nonnegligent Manslaughter","Aggravated Assault"
"4859","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"4860","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4861","Destruction/Damage/Vandalism of Property","Burglary/Breaking & Entering"
"4862","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"4863","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"4864","Theft From Building","Intimidation"
"4865","Theft From Building","Simple Assault"
"4866","Intimidation","Simple Assault"
"4867","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4868","Destruction/Damage/Vandalism of Property","Simple Assault"
"4869","Destruction/Damage/Vandalism of Property","Robbery"
"4870","Destruction/Damage/Vandalism of Property","Simple Assault"
"4871","Simple Assault","All Other Larceny"
"4872","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4873","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"4874","Stolen Property Offenses","Weapon Law Violations"
"4875","Stolen Property Offenses","Drug/Narcotic Violations"
"4876","Weapon Law Violations","Drug/Narcotic Violations"
"4877","All Other Larceny","Hacking/Computer Invasion"
"4878","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"4879","Destruction/Damage/Vandalism of Property","Simple Assault"
"4880","Destruction/Damage/Vandalism of Property","All Other Larceny"
"4881","Intimidation","Destruction/Damage/Vandalism of Property"
"4882","Weapon Law Violations","Drug/Narcotic Violations"
"4883","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
