data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,146392778,146702358,4,,
2021,146392269,146701738,4,,
2021,146392049,146701471,4,,
2021,146392362,146701849,4,,
2021,146392363,146701849,7,,
2021,146392181,146701640,4,,
2021,146392182,146701640,7,,
2021,146392091,146701520,7,,
2021,145297978,145433720,7,,
2021,146396404,146706693,4,,
2021,146396405,146706693,7,,
2021,145297432,145433045,4,,
2021,145297433,145433045,7,,
2021,150016321,150921317,1,,
2021,144471131,144484654,7,1,
2021,146396081,146706259,7,,
2021,146396317,146706578,4,,
2021,146396318,146706578,7,,
2021,146392341,146701826,1,,
2021,146392960,146702582,4,,
2021,146392961,146702582,7,,
2021,146392240,146701703,4,,
2021,146392249,146701716,4,,
2021,146396134,146706343,4,,
2021,146396135,146706343,7,,
2021,146392124,146701564,4,,
2021,146392349,146701832,4,,
2021,146392106,146701545,4,,
2021,146392373,146701859,4,,
2021,146392374,146701859,7,,
2021,146392392,146701878,4,,
2021,146392393,146701878,7,,
2021,146392761,146702337,7,,
2021,146393229,146702899,4,,
2021,146392371,146701858,4,,
2021,146392372,146701858,7,,
2021,146392357,146701840,7,,
2021,146396202,146706436,7,,
2021,146396131,146706337,4,,
2021,146396132,146706337,7,,
2021,146392193,146701650,4,,
2021,150016372,150921371,1,,
2021,146392053,146701475,4,,
2021,146396371,146706656,4,,
2021,146392271,146701741,7,1,
2021,146392319,146701798,4,,
2021,146392114,146701555,4,,
2021,146392297,146701772,4,,
2021,146395769,146705911,7,,
2021,143167529,142965237,4,,
2021,143167530,142965237,7,,
2021,146392398,146701885,7,,
2021,146392033,146701453,4,,
2021,145296846,145432357,7,,
2021,146392511,146702020,7,,
2021,146392058,146701479,4,,
2021,146392059,146701479,7,,
2021,146392225,146701689,4,,
2021,146392350,146701833,4,,
2021,146392136,146701580,4,,
2021,146392475,146701975,4,,
2021,146392352,146701835,1,,
2021,146395722,146705831,7,,
2021,146392108,146701548,4,,
2021,146392107,146701546,7,,
2021,146392146,146701594,4,,
2021,146396208,146706442,7,,
2021,146392147,146701595,7,,
2021,146392293,146701768,4,,
2021,146392294,146701768,7,,
2021,146392683,146702243,6,,
2021,146396238,146706480,7,,
2021,146392087,146701515,7,,
2021,146396313,146706574,7,,
2021,146392338,146701824,4,,
2021,146392339,146701824,7,,
2021,146392801,146702385,4,,
2021,146396004,146706176,7,,
2021,146392797,146702382,4,,
2021,146392798,146702382,7,,
2021,146392174,146701630,7,,
2021,146392184,146701642,1,,
2021,148833200,149542429,4,,
2021,148833201,149542429,7,,
2021,146395791,146705939,7,,
2021,146392088,146701517,4,,
2021,146392089,146701517,7,,
2021,146392143,146701591,7,,
2021,150016328,150921327,7,,
2021,146393439,146703139,4,,
2021,146392396,146701883,7,,
2021,146392415,146701905,7,,
2021,146392205,146701664,7,,
2021,146392050,146701472,7,,
2021,146392366,146701853,7,,
2021,146392333,146701816,4,,
2021,146392647,146702194,4,,
2021,146392171,146701625,4,,
2021,146392472,146701973,4,,
2021,146392473,146701973,7,,
2021,146392121,146701561,7,,
2021,146396162,146706381,7,,
2021,146392031,146701450,4,,
2021,146392315,146701794,4,,
2021,146392316,146701794,7,,
2021,146392320,146701800,7,,
2021,146396020,146706190,7,,
2021,146392063,146701483,4,,
2021,144472328,144485971,7,1,
2021,146392929,146702542,4,,
2021,146392413,146701902,4,,
2021,146392298,146701773,7,,
2021,146396152,146706367,7,,
2021,146392317,146701795,6,,
2021,146392213,146701676,1,,
2021,146392376,146701861,4,,
2021,146392217,146701680,4,,
2021,146392344,146701828,4,,
2021,146392208,146701668,7,,
2021,146392266,146701735,4,,
2021,146392095,146701525,7,,
2021,145297113,145432668,1,,
2021,146392263,146701732,4,,
2021,146392544,146702066,4,,
2021,146396079,146706256,4,,
2021,146396333,146706598,5,,
2021,146396334,146706598,7,,
2021,145297362,145432953,7,,
2021,146392141,146701587,1,,
2021,146392142,146701587,6,,
2021,146392104,146701543,4,,
