data_year,weapon_id,offense_id,nibrs_weapon_id
2021,42,173504258,
2021,41,171765413,
2021,41,176058725,
2021,3,180877452,
2021,3,179285555,
2021,3,179285556,
2021,38,173504413,
2021,41,173505515,
2021,41,173504082,
2021,41,173504629,
2021,41,173504087,
2021,3,173504007,
2021,41,173503992,
2021,3,176044120,
2021,41,173503878,
2021,41,176044614,
2021,41,176044470,
2021,41,176044111,
2021,41,176044564,
2021,41,173503953,
2021,41,176044758,
2021,38,176049956,
2021,38,176044127,
2021,41,176044343,
2021,38,176044202,
2021,41,176044270,
2021,38,176044523,
2021,41,176044598,
2021,41,176044167,
2021,41,176044580,
2021,38,176049195,
2021,32,176044667,
2021,3,176044334,
2021,38,173505314,
2021,3,176044966,
2021,41,173503971,
2021,42,179285998,
2021,42,176044434,
2021,3,176050164,
2021,41,176044566,
2021,41,176044458,
2021,38,176044458,
2021,38,176044338,
2021,38,176044247,
2021,31,176044500,
2021,42,176049692,
2021,3,179285777,
2021,3,176044657,
2021,3,176044648,
2021,3,176049894,
2021,3,176044402,
2021,41,176044219,
2021,38,176044416,
2021,41,176044115,
2021,41,176044174,
2021,41,176044264,
2021,41,176044757,
2021,3,176050186,
2021,38,176044359,
2021,9,176044385,
2021,4,176044568,
2021,41,176044208,
2021,41,176044266,
2021,41,176044575,
2021,41,176044890,
2021,38,176044408,
2021,38,176049251,
2021,41,176044944,
2021,5,176049829,
2021,3,176049830,
2021,41,176050187,
2021,31,176044312,
2021,41,176049860,
2021,41,176050182,
2021,38,176050182,
2021,4,176044302,
2021,21,176044153,
2021,41,176045083,
2021,42,176049595,
2021,41,176049800,
2021,41,176044498,
2021,41,176044342,
2021,41,176044824,
2021,38,176049709,
2021,41,176044516,
2021,41,174589293,
2021,38,176044390,
2021,41,176044169,
2021,3,176044172,
2021,38,176049272,
2021,41,179285535,
2021,3,176050218,
2021,41,176044243,
2021,42,176045064,
2021,41,176044726,
2021,3,176044168,
2021,5,176044168,
2021,38,176045278,
2021,3,176044619,
2021,41,179286427,
2021,41,176044205,
2021,41,176049881,
2021,41,176044849,
2021,41,176044235,
2021,41,176044535,
2021,41,176044607,
2021,21,176044433,
2021,41,176044937,
2021,38,176044937,
2021,41,173504267,
2021,38,176044468,
2021,41,176044737,
2021,3,174589370,
2021,3,176045062,
2021,3,176044317,
2021,5,176044317,
2021,41,176044298,
2021,3,176044345,
2021,41,176044349,
2021,41,176044442,
2021,38,176049173,
2021,42,173503911,
2021,38,176049166,
2021,3,176044190,
2021,41,176044362,
