data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,2243,145433505,40364000,f,2021-12-07 11:08:07.044,2021-11-01,f,21,6,,WARNINGS,,F,119209472
2021,2243,145433568,40364000,f,2021-12-07 11:08:07.558,2021-11-01,f,21,6,,ACCEPTED,,F,119209557
2021,2243,145434728,40364000,f,2021-12-07 11:08:16.707,2021-11-01,f,21,6,,ACCEPTED,,F,119211390
2021,2243,145433542,40364000,f,2021-12-07 11:08:07.283,2021-11-01,f,20,6,,ACCEPTED,,F,119209508
2021,2243,145433811,40364000,f,2021-12-07 11:08:09.386,2021-11-01,f,19,6,,ACCEPTED,,F,119209881
2021,2243,145433438,40364000,f,2021-12-07 11:08:06.444,2021-11-01,f,21,6,,ACCEPTED,,F,119209401
2021,2243,145433657,40364000,f,2021-12-07 11:08:08.202,2021-11-01,f,20,6,,ACCEPTED,,F,119209672
2021,2243,145433627,40364000,f,2021-12-07 11:08:08.006,2021-11-01,f,22,6,,ACCEPTED,,F,119209636
2021,2243,145433656,40364000,f,2021-12-07 11:08:08.184,2021-11-01,f,22,6,,ACCEPTED,,F,119209671
2021,2243,145433478,40364000,f,2021-12-07 11:08:06.769,2021-11-01,f,22,6,,ACCEPTED,,F,119209443
2021,2243,145433884,40364000,f,2021-12-07 11:08:10.044,2021-11-01,f,23,6,,ACCEPTED,,F,119209984
2021,2243,145433558,40364000,f,2021-12-07 11:08:07.486,2021-11-01,f,0,6,,ACCEPTED,,F,119209543
2021,2243,145433649,40364000,f,2021-12-07 11:08:08.103,2021-11-01,f,23,6,,WARNINGS,,F,119209656
2021,2243,145433508,40364000,f,2021-12-07 11:08:07.111,2021-11-01,f,23,6,,ACCEPTED,,F,119209481
2021,2243,145433402,40364000,f,2021-12-07 11:08:06.189,2021-11-02,f,0,6,,ACCEPTED,,F,119209362
2021,2243,146709347,40364000,f,2022-01-07 20:01:17.671,2021-11-01,f,23,6,,ACCEPTED,,F,122060177
2021,2243,145433388,40354692,f,2021-12-07 11:08:06.044,2021-10-30,f,0,6,,ACCEPTED,,F,119209340
2021,2243,145433243,40364000,f,2021-12-07 11:08:04.422,2021-11-01,f,0,6,,ACCEPTED,,F,119209151
2021,2243,145432999,40354692,f,2021-12-07 11:08:01.48,2021-10-31,f,23,6,,ACCEPTED,,F,119208797
2021,2243,145433028,40364000,f,2021-12-07 11:08:01.719,2021-11-02,f,0,6,,ACCEPTED,,F,119208828
2021,2243,146709411,40364000,f,2022-01-07 20:01:18.078,2021-11-01,f,16,6,,ACCEPTED,,F,122060270
2021,2243,146710993,40364000,f,2022-01-07 20:01:29.236,2021-11-01,f,23,6,,ACCEPTED,,F,122062215
2021,2243,145433901,40364000,f,2021-12-07 11:08:10.158,2021-11-02,f,0,6,,WARNINGS,,F,119209995
2021,2243,146709242,40364000,f,2022-01-07 20:01:16.741,2021-11-01,f,1,6,,ACCEPTED,,F,122060032
2021,2243,145433021,40364000,f,2021-12-07 11:08:01.605,2021-11-02,f,1,6,,ACCEPTED,,F,119208815
