data_year,victim_id,injury_id
2021,159223062,5
2021,157501153,4
2021,161774850,4
2021,165001394,6
2021,159223202,4
2021,159224297,3
2021,159222892,5
2021,159223411,4
2021,159222897,5
2021,159222810,4
2021,161760569,6
2021,159222687,4
2021,161761066,4
2021,161760924,4
2021,161760560,4
2021,161761014,4
2021,159222765,5
2021,161761208,4
2021,161766402,5
2021,161760574,5
2021,161760805,4
2021,161760654,5
2021,161760730,5
2021,161760976,4
2021,161761045,4
2021,161760619,4
2021,161761029,4
2021,161765637,4
2021,161761126,3
2021,159224082,4
2021,161761411,4
2021,161761412,5
2021,159222784,4
2021,161760892,5
2021,161761016,5
2021,161760913,4
2021,161760800,5
2021,161760705,4
2021,161760954,5
2021,161761116,5
2021,161761105,5
2021,161766341,6
2021,161766342,2
2021,161760673,4
2021,161760674,4
2021,161760874,5
2021,161760564,4
2021,161760626,4
2021,161760627,4
2021,161760724,5
2021,161761206,4
2021,161761207,5
2021,161760819,5
2021,161760820,5
2021,161761018,6
2021,161760660,5
2021,161760726,4
2021,161761025,4
2021,161761337,4
2021,161760865,5
2021,161765704,4
2021,161761387,5
2021,161766277,6
2021,161766607,5
2021,161760774,5
2021,161766307,4
2021,161766603,4
2021,161760607,3
2021,161761528,4
2021,161766241,4
2021,161760952,4
2021,161760804,4
2021,161761273,5
2021,161766144,4
2021,161760968,4
2021,160307573,4
2021,161760621,4
2021,161765726,4
2021,165001368,5
2021,161760701,4
2021,161761509,5
2021,161761179,5
2021,161761730,5
2021,161761072,5
2021,161761073,6
2021,165002201,4
2021,165002204,4
2021,165002205,5
2021,161760657,6
2021,161766328,8
2021,161761299,5
2021,161760693,2
2021,161760986,4
2021,161760987,5
2021,161761053,5
2021,161760890,3
2021,161761380,5
2021,159223069,4
2021,161760922,4
2021,161761188,4
2021,161761507,6
2021,161760779,5
2021,161760780,5
2021,161760781,5
2021,161760759,5
2021,161760807,6
2021,161760811,4
2021,161760899,4
2021,161765613,4
2021,159222724,5
2021,161765608,5
2021,161760641,5
2021,161760823,4
2021,161766125,5
2021,159223930,4
2021,159223931,4
2021,161761565,4
2021,161760739,4
2021,161761587,5
2021,161761011,5
2021,159222917,5
2021,161766640,6
2021,161766634,4
2021,161765776,5
2021,161766321,5
2021,161760983,5
2021,161760694,5
2021,161761767,5
2021,161760838,4
2021,161761482,4
2021,161766260,5
2021,161760974,4
2021,161760769,4
2021,161761176,4
2021,165001115,4
2021,161760646,5
2021,161760647,5
2021,161761529,3
2021,161760764,5
2021,161766146,4
2021,161766147,4
2021,161762144,4
2021,161762145,5
2021,161760727,5
2021,161760649,3
2021,161760758,4
2021,161760572,4
2021,161760749,4
2021,161760881,3
2021,161760881,6
2021,161766110,6
2021,161766111,6
2021,161760747,5
2021,161766269,4
2021,161760573,4
2021,161760784,3
2021,161760668,2
2021,161761261,5
2021,161761027,5
2021,165002702,4
2021,161761106,5
2021,161760653,5
2021,161760910,5
2021,161760871,5
2021,161766380,4
2021,161766434,3
2021,161760942,4
2021,161766088,4
2021,157496681,5
2021,157496683,5
2021,161760958,5
2021,161760953,5
2021,161766495,5
2021,165001489,5
2021,159223060,5
2021,161761695,4
2021,161761037,4
2021,161760826,4
2021,161760918,5
2021,161765688,5
2021,159222711,4
2021,159222712,2
2021,161760563,5
2021,161766175,4
2021,161760777,4
2021,161761621,4
2021,161766591,5
2021,161760840,4
2021,161760806,5
2021,161760629,4
2021,161760719,5
2021,161760915,4
2021,161760731,5
2021,161760732,5
2021,161761436,5
2021,161760889,4
2021,161760978,5
2021,161760745,6
2021,161765592,4
2021,161761047,4
2021,161765757,5
2021,161760920,5
2021,161760637,5
2021,161760923,5
2021,161760801,4
2021,161760940,4
2021,161760640,5
2021,161761766,4
2021,161760579,5
2021,161766114,5
2021,161765606,5
2021,161766259,5
2021,161761447,5
2021,160307291,4
2021,161761288,4
2021,161761370,5
2021,161760651,4
2021,161761826,5
2021,161761216,4
2021,161761485,4
2021,157496428,4
2021,161761690,5
2021,161761555,4
2021,161761605,4
2021,161761362,5
2021,161761592,4
2021,161761802,5
2021,161761198,4
2021,161761282,4
2021,161761453,5
2021,161766215,5
2021,161766216,4
2021,161761652,5
2021,161761398,5
2021,159223199,4
2021,161761849,4
2021,161766049,4
2021,157496055,5
2021,161763609,4
2021,161761809,4
2021,161761623,5
2021,161765617,5
2021,161761789,5
2021,161761438,4
2021,166566697,4
2021,161761274,4
2021,161761291,4
2021,159223064,4
2021,161766324,2
2021,161761758,4
2021,161766600,4
2021,161766309,5
2021,159224028,4
2021,161763050,5
2021,161761469,5
