data_year,suspect_using_id,offense_id
2021,2,179291226
2021,2,171760181
2021,4,173509098
2021,4,173509099
2021,4,173504937
2021,4,176045658
2021,4,173504258
2021,4,171765413
2021,4,176051117
2021,4,176058725
2021,1,173507083
2021,4,176052178
2021,4,173510341
2021,4,180877452
2021,4,171762677
2021,4,171762678
2021,4,179285555
2021,4,179285556
2021,4,171760843
2021,4,176044623
2021,4,173504413
2021,4,173505515
2021,4,174589114
2021,4,174589115
2021,4,179286595
2021,4,179286597
2021,4,179286598
2021,4,173504082
2021,4,173503895
2021,4,176049968
2021,4,176049969
2021,4,176044369
2021,4,173504629
2021,4,176044556
2021,4,173504087
2021,4,173504384
2021,4,173504007
2021,4,173503992
2021,4,176044120
2021,1,176044637
2021,4,173503878
2021,4,176050087
2021,4,176045053
2021,4,176044620
2021,4,176044621
2021,4,176044614
2021,4,176044557
2021,4,176044405
2021,4,176044436
2021,4,176044470
2021,4,176044141
2021,4,176045273
2021,4,180877461
2021,4,180877462
2021,4,176044625
2021,4,176044111
2021,4,176044564
2021,4,176044456
2021,4,173503885
2021,4,176044683
2021,4,176044296
2021,4,173503953
2021,4,176044504
2021,4,176044758
2021,4,180877596
2021,4,176049956
2021,4,176049957
2021,4,176044126
2021,4,176044127
2021,4,176044343
2021,4,176044107
2021,4,176044290
2021,4,176049748
2021,4,176044202
2021,4,176044270
2021,4,176044523
2021,4,179286043
2021,4,176044598
2021,4,176044861
2021,4,174589549
2021,4,174589550
2021,4,176044167
2021,4,176044444
2021,4,176044579
2021,4,176044580
2021,4,176044233
2021,4,176049195
2021,4,176044415
2021,4,176044667
2021,4,176044303
2021,3,176044274
2021,4,176045751
2021,4,176044192
2021,4,176044371
2021,4,176044346
2021,4,176049867
2021,4,176044332
2021,4,176044333
2021,4,176044334
2021,4,176044590
2021,4,173505314
2021,4,176044966
2021,4,176044474
2021,4,173504283
2021,4,176044517
2021,4,173503971
2021,4,176044518
2021,4,176045766
2021,4,179285998
2021,4,176044434
2021,4,176045046
2021,4,174589411
2021,4,176050164
2021,4,176044616
2021,4,176044566
2021,4,176044104
2021,4,176044458
2021,4,176044338
2021,4,174589035
2021,4,176044105
2021,4,176044247
2021,4,176044500
2021,4,176044283
2021,4,176049692
2021,4,176044381
2021,4,176044147
2021,4,176049815
2021,4,176044248
2021,4,180877362
2021,4,176044239
2021,4,176044152
2021,4,176044182
2021,4,179285777
2021,4,176044657
2021,4,176044149
2021,4,176044648
2021,4,176045096
2021,4,176049894
2021,4,176044402
2021,4,176044219
2021,4,176044889
2021,4,176044416
2021,4,176044335
2021,4,176044336
2021,4,176044115
2021,4,176044174
2021,4,176044264
2021,4,176044756
2021,4,176044757
2021,4,176050186
2021,4,176044359
2021,4,176044305
2021,4,174589554
2021,4,176044385
2021,4,176044568
2021,4,176045221
2021,4,176044208
2021,4,176044602
2021,4,176044266
2021,4,176044528
2021,4,176044529
2021,4,176044575
2021,4,176044372
2021,3,176044890
2021,3,176044891
2021,4,176044133
2021,4,176044173
2021,4,176044407
2021,4,176044408
2021,4,176049251
2021,4,176044668
2021,4,176044770
2021,4,174590428
2021,4,171760628
2021,4,171760629
2021,4,176049682
2021,4,176044944
2021,4,176045010
2021,4,176049829
2021,4,176049830
2021,4,176050187
2021,4,176050188
2021,4,176044312
2021,4,171760303
2021,4,171760304
2021,4,176044295
2021,4,176049860
2021,2,176044226
2021,1,176050182
2021,3,176050182
2021,4,176044302
2021,4,176044473
2021,4,176044530
2021,4,180877809
2021,4,176045210
2021,4,176045211
2021,4,176049795
2021,4,176044153
2021,4,176045082
2021,4,176045083
2021,4,176044562
2021,4,176044563
2021,4,176045645
2021,4,176049595
2021,4,176044324
2021,4,176044491
2021,4,176044397
2021,4,176044250
2021,4,180877413
2021,4,176044534
2021,4,176049800
2021,4,173504441
