data_year,victim_id,injury_id
2022,168651496,5
2022,173352180,5
2022,178398577,5
2022,168646482,6
2022,165006412,4
2022,165006665,4
2022,165006771,5
2022,167296460,4
2022,165006816,5
2022,165006817,6
2022,165006724,5
2022,165006634,4
2022,165007091,4
2022,165007091,6
2022,165007170,4
2022,165006685,5
2022,178398514,4
2022,165006744,4
2022,165006868,6
2022,165006788,6
2022,165006845,6
2022,165006513,5
2022,165007279,5
2022,181710397,4
2022,166567105,4
2022,165006515,5
2022,165006904,4
2022,165006777,5
2022,165006844,4
2022,165006537,4
2022,165006930,4
2022,167296601,4
2022,170015496,2
2022,166566807,5
2022,165007118,4
2022,165007052,4
2022,170015624,4
2022,168646574,2
2022,168646574,3
2022,165006683,5
2022,165006961,5
2022,165006964,5
2022,165006965,5
2022,166567241,3
2022,165006550,5
2022,165007006,5
2022,165007007,5
2022,166566894,4
2022,165006884,4
2022,165006741,4
2022,165007076,4
2022,165007077,4
2022,165007041,5
2022,165007043,5
2022,165006755,5
2022,165006622,4
2022,165006623,5
2022,165006979,5
2022,165006749,5
2022,165006751,6
2022,165006752,6
2022,165006915,6
2022,165006970,4
2022,173350328,5
2022,165006442,6
2022,166566852,5
2022,166566854,5
2022,179276700,4
2022,165006773,5
2022,165006753,4
2022,166567393,5
2022,166567402,5
2022,165006913,5
2022,165006443,5
2022,165006725,4
2022,165007823,4
2022,179276599,5
2022,165006919,5
2022,165006503,4
2022,165006604,4
2022,165006472,4
2022,167296445,5
2022,165006843,5
2022,183177285,5
2022,165006428,4
2022,165006429,4
2022,165006430,4
2022,165006740,5
2022,165007313,4
2022,167296357,5
2022,165007179,5
2022,165006784,5
2022,165006553,4
2022,167296377,3
2022,165006916,4
2022,165006990,5
2022,165007260,4
2022,165007111,5
2022,166567142,6
2022,166567143,5
2022,166567144,5
2022,166567145,5
2022,166567146,5
2022,165007333,4
2022,165006775,4
2022,165006776,5
2022,165007134,4
2022,165006779,3
2022,165006780,6
2022,165006947,6
2022,165007093,4
2022,165006707,5
2022,166567064,5
2022,165006895,4
2022,165007088,5
2022,181729245,5
2022,165007074,5
2022,165006896,5
2022,165007357,4
2022,165007220,5
2022,166567351,5
2022,179276587,5
2022,165006962,4
2022,165006963,4
2022,165007242,4
2022,166567253,1
2022,166567253,2
2022,178398363,5
2022,165007374,5
2022,171603926,5
2022,167296369,4
2022,165007119,4
2022,165007603,4
2022,165007130,5
2022,165007197,4
2022,165007128,5
2022,165007000,4
2022,165006772,4
2022,167296393,4
2022,165007542,5
2022,165007594,4
2022,165007400,4
2022,181710345,5
2022,165007235,4
2022,165007029,4
2022,165007494,5
2022,165006999,4
2022,178398586,4
2022,165007139,4
2022,174775220,5
2022,165006925,4
2022,178398358,5
2022,165007569,5
2022,165007153,5
2022,183176951,5
2022,165007484,4
2022,165007485,5
2022,183177079,5
2022,165007060,5
2022,165007334,5
2022,165007677,4
2022,183177095,5
2022,166567089,6
2022,165007625,4
2022,165007102,5
2022,165007233,4
2022,165007607,5
2022,165007413,4
2022,166566888,5
2022,166567032,5
2022,179276473,5
2022,165007264,4
2022,165007363,5
2022,183176864,5
2022,166567807,5
2022,166567809,4
2022,166567810,4
2022,166567811,4
2022,166567812,4
2022,165007422,5
2022,165007123,5
2022,165007249,4
2022,166566816,5
2022,165007369,4
2022,165007171,4
2022,165007166,5
2022,165007255,6
2022,165007321,5
2022,165006801,3
2022,167296431,4
2022,165007445,4
2022,178399260,5
2022,165007336,4
2022,165007367,4
2022,170015925,5
2022,165007227,4
2022,165007048,4
2022,165007304,4
2022,165007286,5
2022,165007528,5
2022,170015603,4
2022,165006960,4
2022,165007084,5
2022,165007684,5
2022,170015735,5
2022,165007669,4
2022,165007901,5
2022,165007393,5
2022,165007384,5
2022,165007316,4
2022,165007850,5
2022,165007660,2
2022,165007660,4
2022,165007508,5
2022,166566933,5
2022,165007268,4
2022,165007533,4
2022,170015813,5
2022,165007178,5
2022,165007796,4
2022,166567181,5
2022,165007248,2
2022,165007292,4
2022,165007452,5
2022,165007294,4
2022,167296631,4
2022,183177097,4
2022,165007631,4
2022,165007461,4
2022,165007672,5
2022,165007226,5
2022,178398532,5
2022,165007282,5
2022,165007283,5
2022,165007215,4
2022,165007753,5
2022,165007673,4
2022,165007674,4
2022,165007370,4
2022,165007213,4
2022,165007372,5
2022,166567277,4
2022,166567320,5
2022,170016601,5
2022,165007582,5
2022,165007507,5
2022,165007562,5
2022,165007892,5
2022,166566910,5
2022,166566911,5
2022,165007619,5
2022,165007592,4
2022,166567099,5
2022,166567100,5
2022,165007714,2
2022,165007714,4
2022,165007629,5
2022,167296478,6
2022,170015471,4
2022,170015472,4
2022,165007733,5
2022,170015808,4
2022,166567057,5
2022,165007478,5
2022,166566986,5
2022,165007472,4
2022,165007838,4
2022,165007450,5
2022,165007377,4
2022,165007595,5
2022,165007777,4
2022,165007580,4
2022,166566944,4
2022,165007676,4
2022,165007548,5
2022,165007552,5
2022,165007830,4
2022,165007613,4
2022,165007522,4
2022,181709993,5
2022,181709994,5
2022,165007467,4
2022,165007679,4
2022,165007639,5
2022,165007585,5
2022,165007529,5
2022,165007440,5
2022,165007695,4
2022,165007504,4
2022,165007505,4
2022,168646829,4
2022,168646830,5
2022,165007544,4
2022,170015790,5
2022,165007924,4
2022,165007718,5
2022,165007251,5
2022,165007252,5
2022,165007849,4
2022,165007437,4
2022,167296609,4
2022,167296610,4
2022,165007423,5
2022,165007575,5
2022,165007455,5
2022,165007659,4
2022,166567548,4
2022,166567573,4
2022,165007183,4
2022,165007511,5
2022,165007325,5
2022,165007326,3
2022,165007290,5
2022,165007427,5
2022,165007866,4
2022,165007593,4
2022,165007871,4
2022,165007680,5
2022,168646571,5
2022,165007904,5
2022,165007751,3
2022,176245907,5
2022,165008060,4
2022,176245781,5
2022,165007877,3
2022,166567077,5
2022,173349469,5
2022,165007935,4
2022,167296463,5
2022,165007385,5
2022,165007415,5
2022,165007416,5
2022,165007274,4
2022,165007457,4
2022,165007605,5
2022,176245823,4
2022,170015814,4
2022,170015490,4
2022,165007886,5
2022,165008278,4
2022,165008100,5
2022,165007820,5
2022,170015507,4
2022,170015508,5
2022,178398533,5
2022,165008120,5
2022,168646493,5
2022,167296407,5
2022,176245865,5
2022,165008059,4
2022,181709949,4
2022,173349325,5
2022,165007785,5
2022,165008085,4
2022,167296725,4
2022,170015709,2
2022,170015657,4
2022,165007827,4
2022,167296612,5
2022,165008242,4
2022,165007951,4
2022,170015740,5
2022,166568291,4
2022,166568292,4
2022,166568293,4
2022,165007898,4
2022,165008135,4
2022,165007648,5
2022,165007770,4
2022,165008422,4
2022,165007943,4
2022,165008364,4
2022,165008365,5
2022,170015545,4
2022,165008067,5
2022,165008001,5
2022,165008054,5
2022,183177158,5
2022,167296833,4
2022,165007754,4
2022,170015638,5
2022,165007821,4
2022,165007988,5
2022,170015764,4
2022,165008028,6
2022,165008276,5
2022,165008126,6
2022,165008015,4
2022,166567695,4
2022,166567722,4
2022,166567895,4
2022,165007765,4
2022,165007766,4
2022,165008291,4
2022,166567423,4
2022,165007915,5
2022,165008113,5
2022,183177130,5
2022,167296499,3
2022,165007719,5
2022,165007788,5
2022,165007789,4
2022,165008191,5
2022,165007644,5
2022,166567497,4
2022,165008094,5
2022,165008261,5
2022,165008008,4
2022,178398601,5
2022,165008186,3
2022,165007995,6
2022,165007996,6
2022,167296773,4
2022,165007993,4
2022,165008019,4
2022,167296409,4
2022,165007860,5
2022,167296311,4
2022,165007872,4
2022,176245856,2
2022,165007876,5
2022,165008162,5
2022,165008170,4
2022,183177068,5
2022,183177069,5
2022,166567507,4
2022,165008057,4
2022,165008064,4
2022,165008311,4
2022,165008046,5
2022,183177121,4
2022,166567795,4
2022,165008801,4
2022,165008334,4
2022,165008340,5
2022,166567761,5
2022,166567762,5
2022,166567766,5
2022,165008359,6
2022,178398279,6
2022,165008424,5
2022,170015799,5
2022,165008443,5
2022,168646460,5
2022,167296750,4
2022,165008263,5
2022,165008026,5
2022,166567598,4
2022,165008275,3
2022,165008468,6
2022,165008469,6
2022,165008282,5
2022,165008139,4
2022,165008140,4
2022,171604144,5
2022,166567763,5
2022,165008168,5
2022,171604147,5
2022,165009023,4
2022,165008136,4
2022,165008167,4
2022,165008253,5
2022,167296558,4
2022,165008792,5
2022,165008394,4
2022,165008247,6
2022,167296769,5
2022,167296770,5
2022,167296465,5
2022,165008108,5
2022,165008567,5
2022,170015611,6
2022,170015612,6
2022,165008344,4
2022,165008615,5
2022,165008081,4
2022,165008106,4
2022,165008264,4
2022,165008337,4
2022,165008609,5
2022,171604259,5
2022,165008712,5
2022,165008413,6
2022,166567490,4
2022,165008683,4
2022,165008373,6
