data_year,weapon_id,offense_id,nibrs_weapon_id
2022,38,182978559,
2022,41,187690885,
2022,21,192758091,
2022,3,182973335,
2022,41,180877286,
2022,31,179287432,
2022,3,179291015,
2022,3,181619994,
2022,38,181619994,
2022,3,181620150,
2022,5,179290952,
2022,3,179290825,
2022,3,179291099,
2022,41,179290732,
2022,1,179291288,
2022,9,179290853,
2022,3,179291320,
2022,3,179291234,
2022,41,179290999,
2022,3,179291109,
2022,3,179291134,
2022,1,179290754,
2022,3,179291349,
2022,42,179291158,
2022,38,181619858,
2022,3,179291187,
2022,3,179290817,
2022,3,180877934,
2022,5,180877934,
2022,3,179291038,
2022,3,179291007,
2022,41,179291145,
2022,21,179291146,
2022,38,179291146,
2022,41,179291060,
2022,41,179290963,
2022,3,179291450,
2022,41,179291450,
2022,42,179291535,
2022,9,179291115,
2022,41,179291022,
2022,41,192758025,
2022,3,184345173,
2022,39,184344914,
2022,41,179291081,
2022,3,179291047,
2022,5,179291047,
2022,3,179291198,
2022,38,179291203,
2022,41,179291126,
2022,3,179291571,
2022,41,179291175,
2022,41,179290831,
2022,41,179291646,
2022,41,196067558,
2022,38,180877860,
2022,42,179290833,
2022,3,179290949,
2022,3,182973491,
2022,41,179291251,
2022,41,179291114,
2022,41,179291174,
2022,3,184345480,
2022,41,179290858,
2022,1,179291282,
2022,42,179291275,
2022,41,181620004,
2022,42,184344912,
2022,41,180877560,
2022,41,179291480,
2022,38,179291408,
2022,38,184345025,
2022,42,180877807,
2022,3,182973424,
2022,3,182973425,
2022,3,179291000,
2022,41,179291020,
2022,3,179291308,
2022,3,179291310,
2022,9,180877861,
2022,38,180877992,
2022,38,179290873,
2022,21,182973396,
2022,5,179291362,
2022,41,179291357,
2022,38,180877643,
2022,41,179291221,
2022,41,179291078,
2022,41,179291432,
2022,3,179291037,
2022,41,179291397,
2022,41,179291091,
2022,41,179290951,
2022,3,179291028,
2022,41,179291324,
2022,3,179291087,
2022,3,179291258,
2022,42,184345289,
2022,41,179291314,
2022,3,187688957,
2022,9,187688957,
2022,3,179290759,
2022,42,180877599,
2022,41,193631245,
2022,42,179291111,
2022,38,179291090,
2022,41,180878143,
2022,41,180878148,
2022,39,179291256,
2022,31,179291257,
2022,41,179290760,
2022,3,180878315,
2022,38,179291061,
2022,41,179292214,
2022,38,179292214,
2022,38,193631150,
2022,42,179291263,
2022,41,179290820,
2022,41,179290930,
2022,41,179290792,
2022,3,181619843,
2022,3,181619844,
2022,3,179291170,
2022,41,179291173,
2022,41,197540665,
2022,41,179290747,
2022,42,179291077,
2022,41,179291683,
2022,3,181619753,
2022,41,179291542,
2022,42,179291121,
2022,41,179290877,
2022,21,181619775,
2022,4,179290965,
2022,39,179291259,
2022,41,179291336,
2022,41,179291624,
2022,41,179291474,
2022,21,180877901,
2022,38,180877903,
2022,41,179291700,
2022,39,179291113,
2022,41,179291497,
2022,38,179291116,
2022,41,179291294,
2022,41,179291452,
2022,41,179291042,
2022,38,180877817,
2022,41,179291232,
2022,41,179291447,
2022,38,196086859,
2022,38,179291428,
2022,41,179291233,
2022,38,179291726,
2022,41,179291586,
2022,41,180878098,
2022,38,193631139,
2022,21,179291374,
2022,41,179291309,
2022,42,179291609,
2022,21,196086805,
2022,3,179291831,
2022,38,180878002,
2022,42,192757866,
2022,41,179291742,
2022,38,179291742,
2022,41,185929079,
2022,41,181619765,
2022,3,179291406,
2022,9,179291392,
2022,41,179291482,
2022,39,179291986,
2022,38,179291492,
2022,41,179291564,
2022,41,179291491,
2022,41,179291348,
2022,41,179291110,
2022,41,181619791,
2022,41,179291918,
2022,41,179291978,
2022,41,179291769,
2022,3,196067511,
2022,3,196067513,
2022,3,179291603,
2022,41,179291602,
2022,42,179291384,
2022,42,179291868,
2022,41,179291347,
2022,41,192758099,
2022,3,181620115,
2022,41,179291502,
2022,3,181620079,
2022,41,189111945,
2022,3,179291269,
2022,38,192757861,
2022,41,179291948,
2022,3,179291516,
2022,38,197540292,
