data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,47764890,,51
2022,46981636,,51
2022,46635757,,51
2022,46314582,,3
2022,46314602,,3
2022,45743571,,5
2022,45743590,,3
2022,45743575,,51
2022,45743628,,3
2022,45743601,,51
2022,45743616,,51
2022,45743580,,3
2022,45743597,,52
2022,45743641,,3
2022,45743578,,9
2022,48980421,,51
2022,46980625,,3
2022,45743604,,9
2022,45743593,,51
2022,46314601,,51
2022,45743666,,51
2022,45743561,,51
2022,45743611,,51
2022,45743592,,52
2022,46980723,,3
2022,45743644,,51
2022,45743634,,51
2022,46980579,,51
2022,45743577,,51
2022,45743594,,51
2022,45743630,,51
2022,45743586,,51
2022,45743637,,51
2022,45743638,,51
2022,45743633,,51
2022,45743579,,3
2022,46980530,,51
2022,46314589,,51
2022,46980634,,51
2022,49195202,,51
2022,45743588,,51
2022,45743615,,51
2022,46314576,,51
2022,45743559,,51
2022,46314553,,51
2022,46314554,,51
2022,46314556,,3
2022,45743602,,3
2022,45743603,,51
2022,45743552,,51
2022,50129912,,51
2022,45743565,,51
2022,46149963,,52
2022,45743556,,51
2022,45743647,,9
2022,45743623,,51
2022,45743582,,51
2022,45743631,,52
2022,45743659,,51
2022,45743646,,51
2022,45743681,,3
2022,45743677,,51
2022,47353457,,51
2022,45743645,,51
2022,45743627,,51
2022,46314549,,51
2022,45743699,,51
2022,45743658,,3
2022,45743690,,51
2022,45743626,,51
2022,46314597,,3
2022,45743648,,51
2022,46314592,,3
2022,45743705,,51
2022,45743689,,51
2022,45743636,,51
2022,50129897,,51
2022,46980601,,52
2022,46314595,,51
2022,48468196,,51
2022,46149911,,3
2022,47353623,,51
2022,46149919,,51
2022,45743650,,3
2022,50129881,,51
2022,46150060,,51
2022,45743625,,51
2022,45743704,,3
2022,45743694,,51
2022,45743649,,51
2022,45743655,,51
2022,45743661,,51
2022,46149908,,51
2022,45743640,,3
2022,45743651,,51
2022,45743715,,3
2022,46314552,,51
2022,46635833,,51
2022,45743657,,51
2022,45743669,,51
2022,46980572,,51
2022,45743624,,51
2022,46980613,,51
2022,45743622,,51
2022,49808174,,3
2022,45743713,,51
2022,45743693,,3
2022,46149928,,51
2022,45743697,,51
2022,45743729,,51
2022,45743660,,51
2022,45743656,,51
2022,45743747,,3
2022,45743724,,51
2022,45743709,,51
2022,45743676,,51
2022,46980849,,51
