data_year,victim_id,offense_id
2022,167302184,181625733
2022,168651496,182978559
2022,171606164,185931304
2022,173352180,187690885
2022,181711787,196068971
2022,171604258,185929400
2022,170501644,184823640
2022,165001669,179285848
2022,165001673,179285847
2022,178398577,192758091
2022,170021566,184351143
2022,170021567,184351142
2022,168646482,182973335
2022,166566532,180877287
2022,166566533,180877286
2022,165002880,179287114
2022,165003174,179287433
2022,165003175,179287434
2022,165003176,179287432
2022,166567409,180878155
2022,165006679,179291015
2022,167296589,181619993
2022,167296589,181619994
2022,167296747,181620150
2022,165006624,179290952
2022,165006508,179290825
2022,165006763,179291099
2022,165006412,179290732
2022,165006942,179291288
2022,165006532,179290853
2022,165006976,179291320
2022,165006897,179291234
2022,165006665,179290999
2022,165006771,179291109
2022,165006799,179291134
2022,165006436,179290753
2022,165006437,179290754
2022,165007001,179291349
2022,165006830,179291158
2022,165006830,179291159
2022,167296460,181619858
2022,165006921,179291265
2022,171604247,185929391
2022,165006855,179291186
2022,165006856,179291187
2022,165006500,179290817
2022,166567182,180877935
2022,166567183,180877934
2022,165006702,179291038
2022,165006671,179291007
2022,165006672,179291006
2022,165006673,179291006
2022,165006816,179291145
2022,165006817,179291146
2022,165006724,179291060
2022,165006634,179290963
2022,165006634,179290964
2022,165007091,179291450
2022,165007170,179291535
2022,166567342,180878091
2022,166567343,180878091
2022,165006778,179291115
2022,165006685,179291022
2022,178398514,192758025
2022,170015778,184345173
2022,166567204,180877958
2022,165006879,179291214
2022,165006879,179291215
2022,170015498,184344914
2022,165006744,179291081
2022,165006712,179291047
2022,165006865,179291198
2022,166566950,180877698
2022,165006868,179291202
2022,165006868,179291203
2022,165006869,179291202
2022,165006788,179291126
2022,167296736,181620137
2022,165007204,179291571
2022,165006845,179291175
2022,165006488,179290806
2022,165006513,179290831
2022,170015753,184345151
2022,165007279,179291646
2022,165007279,179291647
2022,181710397,196067558
2022,181710397,196067559
2022,166567105,180877860
2022,165006515,179290833
2022,174775314,189112031
2022,174775314,189112032
2022,165006620,179290949
2022,168646640,182973491
2022,165006904,179291251
2022,165006385,179290708
2022,165006386,179290707
2022,167296382,181619780
2022,165006777,179291114
2022,165006878,179291213
2022,165006844,179291174
2022,170016100,184345480
2022,165006838,179291167
2022,165006537,179290858
2022,165006934,179291281
2022,165006935,179291282
2022,165006930,179291275
2022,165006930,179291276
2022,165006543,179290865
2022,165006487,179290805
2022,167296601,181620004
2022,181710395,196067556
2022,165006854,179291183
2022,170015496,184344912
2022,183176873,197540213
2022,166567661,180878411
2022,166566807,180877560
2022,165007118,179291480
2022,165007118,179291481
2022,165007052,179291408
2022,166567345,180878094
2022,166567346,180878093
2022,166567346,180878094
2022,166567347,180878093
2022,166567347,180878094
2022,165009549,179293959
2022,165006826,179291154
2022,165007154,179291517
2022,170015624,184345025
2022,167296577,181619981
2022,168646624,182973474
2022,168646625,182973474
2022,168646625,182973475
2022,165006608,179290936
2022,166567053,180877808
2022,166567054,180877807
2022,168646574,182973424
2022,168646575,182973425
2022,165006666,179291000
2022,165006683,179291020
2022,165006792,179291130
2022,165006793,179291130
2022,165006794,179291130
2022,165006616,179290944
2022,165006961,179291308
2022,165006964,179291310
2022,165006965,179291310
2022,165006831,179291160
2022,165006832,179291160
2022,166567106,180877861
2022,165006835,179291164
2022,166567241,180877992
2022,165006451,179290769
2022,165006550,179290873
2022,168646546,182973396
2022,168646547,182973395
2022,165007059,179291414
2022,165007059,179291415
2022,165007011,179291362
2022,170015830,184345220
2022,165006696,179291032
2022,165006468,179290787
2022,165006797,179291131
2022,165006560,179290887
2022,165006560,179290888
2022,165007006,179291357
2022,165007007,179291357
2022,165007008,179291358
2022,166566894,180877643
2022,165006884,179291221
2022,178398334,192757837
2022,165007158,179291521
2022,165006741,179291078
2022,165007076,179291432
2022,165007077,179291432
2022,165007078,179291433
2022,165006700,179291036
2022,165006701,179291037
2022,165006988,179291334
2022,165006905,179291245
2022,165006906,179291244
2022,165007269,179291635
2022,165007041,179291397
2022,165007043,179291397
2022,165006760,179291096
2022,165006978,179291322
2022,165006978,179291323
2022,165006742,179291079
2022,165006755,179291091
2022,165006622,179290951
2022,165006623,179290951
2022,165006786,179291124
2022,165006641,179290972
2022,165006641,179290973
2022,165006642,179290973
2022,165006643,179290972
2022,165006643,179290973
2022,166567104,180877859
2022,165006693,179291028
2022,165006979,179291324
2022,165006764,179291100
2022,167296646,181620042
2022,165006749,179291087
2022,165006751,179291087
2022,165006752,179291087
2022,165007116,179291479
2022,165006915,179291258
2022,170015487,184344904
2022,183177193,197540566
2022,165006591,179290918
2022,170015903,184345289
2022,166567039,180877793
2022,165006633,179290961
2022,165006633,179290962
2022,167296659,181620056
2022,167296660,181620056
2022,167296661,181620055
2022,170015809,184345199
2022,165006646,179290976
2022,165006970,179291314
2022,173350327,187688958
2022,173350327,187688959
2022,173350328,187688957
2022,165006442,179290759
2022,166566852,180877599
2022,166566854,180877599
2022,165006857,179291188
2022,165006857,179291189
2022,179276700,193631245
2022,165006922,179291266
2022,165006773,179291111
2022,165006612,179290940
2022,165006738,179291074
2022,165006753,179291090
2022,165006837,179291166
2022,166567393,180878143
2022,166567402,180878148
2022,178398394,192757898
2022,165006938,179291285
2022,165006638,179290968
2022,165006669,179291003
2022,165006669,179291004
2022,183177099,197540468
2022,165006881,179291217
2022,165006881,179291218
2022,165006881,179291219
2022,165006913,179291256
2022,165006914,179291257
2022,165007032,179291387
2022,165007032,179291388
2022,165006392,179290713
2022,165006393,179290714
2022,165006394,179290714
2022,165006395,179290714
2022,165006396,179290714
2022,165007027,179291382
2022,183176936,197540276
2022,165006443,179290760
2022,166567306,180878053
2022,165007044,179291398
2022,165007044,179291399
2022,165007045,179291399
2022,165007046,179291398
2022,165006739,179291075
2022,165006739,179291076
2022,178398647,192758161
2022,165007003,179291353
2022,165007003,179291354
2022,165006490,179290809
2022,165006491,179290810
2022,165006577,179290903
2022,165006578,179290903
2022,165007012,179291363
2022,165007012,179291364
2022,165007013,179291364
2022,165006599,179290925
2022,165007106,179291467
2022,165006379,179290701
2022,165006611,179290939
2022,165006750,179291086
2022,165006955,179291302
2022,165006955,179291303
2022,165006982,179291327
2022,165006982,179291328
2022,165006630,179290958
2022,166567567,180878315
2022,165006743,179291080
2022,165006725,179291061
2022,167296544,181619946
2022,167296545,181619946
2022,167296546,181619945
2022,165007144,179291507
2022,165006782,179291118
2022,165006782,179291122
2022,165007823,179292214
2022,179276599,193631150
2022,165006852,179291182
2022,166566984,180877733
2022,166566984,180877734
2022,165006919,179291263
2022,165006503,179290820
2022,165006820,179291149
2022,165006821,179291149
2022,165006891,179291228
2022,165006891,179291229
2022,165006604,179290930
2022,165006604,179290931
2022,167296638,181620033
2022,165007010,179291360
2022,165007010,179291361
2022,166566791,180877543
2022,166566791,180877544
2022,167296437,181619835
2022,181729289,196086903
2022,181729261,196086877
2022,165006754,179291088
2022,165006754,179291089
2022,167296626,181620026
2022,166567024,180877778
2022,165006936,179291283
2022,165006936,179291284
2022,165006937,179291284
2022,165006472,179290792
2022,165006644,179290975
2022,165006645,179290974
2022,165006645,179290975
2022,167296445,181619844
2022,167296446,181619843
2022,167296447,181619842
2022,165007002,179291350
2022,165007002,179291351
2022,165007002,179291352
2022,165006841,179291170
2022,165006841,179291171
2022,165006957,179291305
2022,165006958,179291305
2022,165006843,179291173
2022,168646467,182973324
2022,165006552,179290875
2022,165006552,179290876
2022,183177285,197540664
2022,183177285,197540665
2022,165006428,179290747
2022,165006429,179290747
2022,165006430,179290747
2022,165006740,179291077
2022,165007313,179291683
2022,165007275,179291642
2022,167296356,181619753
2022,167296357,181619753
2022,165007179,179291542
2022,165006758,179291094
2022,165006931,179291278
2022,183177155,197540527
2022,183177156,197540527
2022,165006784,179291121
2022,165006553,179290877
2022,165006587,179290913
2022,167296377,181619775
2022,165006635,179290965
2022,165006916,179291259
2022,165006629,179290957
2022,165006823,179291152
2022,165006990,179291336
2022,165007260,179291624
2022,165007260,179291625
2022,165006457,179290775
2022,165007111,179291474
2022,166567142,180877901
2022,166567143,180877901
2022,166567144,180877901
2022,166567145,180877903
2022,166567146,180877903
2022,166567150,180877902
2022,165006691,179291027
2022,165007333,179291700
2022,166567140,180877895
2022,165006485,179290803
2022,165006486,179290804
2022,165006775,179291113
2022,165006776,179291113
2022,165006605,179290932
2022,165006605,179290933
2022,165007134,179291497
2022,165006779,179291116
2022,165006780,179291116
2022,165006947,179291294
2022,181729227,196086840
2022,181729228,196086839
2022,165007093,179291452
2022,165006707,179291042
2022,165006621,179290950
2022,181729249,196086863
2022,165007645,179292028
2022,165007646,179292028
2022,166567064,180877817
2022,165007047,179291400
2022,165007047,179291401
2022,165007311,179291681
2022,165007019,179291371
2022,165006715,179291049
2022,165007403,179291771
2022,165007087,179291446
2022,165007050,179291404
2022,165007050,179291405
2022,165006895,179291232
2022,165007223,179291591
2022,165006985,179291331
2022,165007405,179291775
2022,165007088,179291447
2022,168646486,182973339
2022,165007181,179291552
2022,165007186,179291551
2022,165007584,179291965
2022,165007584,179291966
2022,181729245,196086859
2022,181729245,196086860
2022,181729276,196086892
2022,165007074,179291428
2022,165006896,179291233
2022,165007357,179291726
2022,181729206,196086818
2022,165007382,179291750
2022,165007220,179291586
2022,165006827,179291155
2022,166567351,180878098
2022,167296417,181619815
2022,167296604,181620007
2022,165007015,179291367
2022,165007015,179291368
2022,183177143,197540514
2022,179276587,193631139
2022,165007020,179291374
2022,165006962,179291309
2022,165006963,179291309
2022,165007328,179291695
2022,165007329,179291695
2022,165007242,179291609
2022,166566918,180877665
2022,165007121,179291484
2022,165007261,179291626
2022,181729193,196086806
2022,181729194,196086805
2022,181729181,196086792
2022,165007456,179291831
2022,165006849,179291179
2022,165007085,179291444
2022,166566873,180877619
2022,166567253,180878002
2022,178398363,192757866
2022,165007318,179291688
2022,165007319,179291688
2022,165007094,179291453
2022,165007083,179291442
2022,165007152,179291515
2022,165007374,179291742
2022,165007299,179291668
2022,171603926,185929079
2022,167296369,181619765
2022,167296369,181619766
2022,165007049,179291406
2022,165007036,179291393
2022,165007037,179291392
2022,165007119,179291482
2022,165007140,179291501
2022,165007603,179291986
2022,165007130,179291492
2022,165007098,179291458
2022,165007207,179291574
2022,165007197,179291564
2022,165007128,179291491
2022,165007000,179291348
