data_year,bias_id,offense_id
2022,88,181625733
2022,88,182978559
2022,88,185931304
2022,88,187690885
2022,88,196068971
2022,88,185929400
2022,88,184823640
2022,88,179285847
2022,88,179285848
2022,88,192758091
2022,88,184351142
2022,88,184351143
2022,88,182973335
2022,88,180877286
2022,88,180877287
2022,88,179287114
2022,88,179287432
2022,88,179287433
2022,88,179287434
2022,88,180878155
2022,88,179291015
2022,88,181619993
2022,88,181619994
2022,88,181620150
2022,88,179290952
2022,88,179290825
2022,88,179291099
2022,88,179290732
2022,88,179291288
2022,88,179290853
2022,88,179291320
2022,88,179291234
2022,88,179290999
2022,88,179291109
2022,88,179291134
2022,88,179290753
2022,88,179290754
2022,88,179291349
2022,88,179291158
2022,88,179291159
2022,88,181619858
2022,88,179291265
2022,88,185929391
2022,88,179291186
2022,88,179291187
2022,88,179290817
2022,88,180877934
2022,88,180877935
2022,88,179291038
2022,88,179291006
2022,88,179291007
2022,88,179291145
2022,88,179291146
2022,88,179291060
2022,88,179290963
2022,88,179290964
2022,88,179291450
2022,88,179291535
2022,88,180878091
2022,88,179291115
2022,88,179291022
2022,88,192758025
2022,88,184345173
2022,88,180877958
2022,88,179291214
2022,88,179291215
2022,88,184344914
2022,88,179291081
2022,88,179291047
2022,88,179291198
2022,88,180877698
2022,88,179291202
2022,88,179291203
2022,88,179291126
2022,88,181620137
2022,88,179291571
2022,88,179291175
2022,88,179290806
2022,88,179290831
2022,88,184345151
2022,88,179291646
2022,88,179291647
2022,88,196067558
2022,88,196067559
2022,88,180877860
2022,88,179290833
2022,88,189112031
2022,88,189112032
2022,88,179290949
2022,88,182973491
2022,88,179291251
2022,88,179290707
2022,88,179290708
2022,88,181619780
2022,88,179291114
2022,88,179291213
2022,88,179291174
2022,88,184345480
2022,88,179291167
2022,88,179290858
2022,88,179291281
2022,88,179291282
2022,88,179291275
2022,88,179291276
2022,88,179290865
2022,88,179290805
2022,88,181620004
2022,88,196067556
2022,88,179291183
2022,88,184344912
2022,88,197540213
2022,88,180878411
2022,88,180877560
2022,88,179291480
2022,88,179291481
2022,88,179291408
2022,88,180878093
2022,88,180878094
2022,88,179293959
2022,88,179291154
2022,88,179291517
2022,88,184345025
2022,88,181619981
2022,88,182973474
2022,88,182973475
2022,88,179290936
2022,88,180877807
2022,88,180877808
2022,88,182973424
2022,88,182973425
2022,88,179291000
2022,88,179291020
2022,88,179291130
2022,88,179290944
2022,88,179291308
2022,88,179291310
2022,88,179291160
2022,88,180877861
2022,88,179291164
2022,88,180877992
2022,88,179290769
2022,88,179290873
2022,88,182973395
2022,88,182973396
2022,88,179291414
2022,88,179291415
2022,88,179291362
2022,88,184345220
2022,88,179291032
2022,88,179290787
2022,88,179291131
2022,88,179290887
2022,88,179290888
2022,88,179291357
2022,88,179291358
2022,88,180877643
2022,88,179291221
2022,88,192757837
2022,88,179291521
2022,88,179291078
2022,88,179291432
2022,88,179291433
2022,88,179291036
2022,88,179291037
2022,88,179291334
2022,88,179291244
2022,88,179291245
2022,88,179291635
2022,88,179291397
2022,88,179291096
2022,88,179291322
2022,88,179291323
2022,88,179291079
2022,88,179291091
2022,88,179290951
2022,88,179291124
2022,88,179290972
2022,88,179290973
2022,88,180877859
2022,88,179291028
2022,88,179291324
2022,88,179291100
2022,88,181620042
2022,88,179291087
2022,88,179291479
2022,88,179291258
2022,88,184344904
2022,88,197540566
2022,88,179290918
2022,88,184345289
2022,88,180877793
2022,88,179290961
2022,88,179290962
2022,88,181620055
2022,88,181620056
2022,88,184345199
2022,88,179290976
2022,88,179291314
2022,88,187688957
2022,88,187688958
2022,88,187688959
2022,88,179290759
2022,88,180877599
2022,88,179291188
2022,88,179291189
2022,88,193631245
2022,88,179291266
2022,88,179291111
2022,88,179290940
2022,88,179291074
2022,88,179291090
2022,88,179291166
2022,88,180878143
2022,88,180878148
2022,88,192757898
2022,88,179291285
2022,88,179290968
2022,88,179291003
2022,88,179291004
2022,88,197540468
2022,88,179291217
2022,88,179291218
2022,88,179291219
2022,88,179291256
2022,88,179291257
2022,88,179291387
2022,88,179291388
2022,88,179290713
2022,88,179290714
2022,88,179291382
2022,88,197540276
2022,88,179290760
2022,88,180878053
2022,88,179291398
2022,88,179291399
2022,88,179291075
2022,88,179291076
2022,88,192758161
2022,88,179291353
2022,88,179291354
2022,88,179290809
2022,88,179290810
2022,88,179290903
2022,88,179291363
2022,88,179291364
2022,88,179290925
2022,88,179291467
2022,88,179290701
2022,88,179290939
2022,88,179291086
2022,88,179291302
2022,88,179291303
2022,88,179291327
2022,88,179291328
2022,88,179290958
2022,88,180878315
2022,88,179291080
2022,88,179291061
2022,88,181619945
2022,88,181619946
2022,88,179291507
2022,88,179291118
2022,88,179291122
2022,88,179292214
2022,88,193631150
2022,88,179291182
2022,88,180877733
2022,88,180877734
2022,88,179291263
2022,88,179290820
2022,88,179291149
2022,88,179291228
2022,88,179291229
2022,88,179290930
2022,88,179290931
2022,88,181620033
2022,88,179291360
2022,88,179291361
2022,88,180877543
2022,88,180877544
2022,88,181619835
2022,88,196086903
2022,88,196086877
2022,88,179291088
2022,88,179291089
2022,88,181620026
2022,88,180877778
2022,88,179291283
2022,88,179291284
2022,88,179290792
2022,88,179290974
2022,88,179290975
2022,88,181619842
2022,88,181619843
2022,88,181619844
2022,88,179291350
2022,88,179291351
2022,88,179291352
2022,88,179291170
2022,88,179291171
2022,88,179291305
2022,88,179291173
2022,88,182973324
2022,88,179290875
2022,88,179290876
2022,88,197540664
2022,88,197540665
2022,88,179290747
2022,88,179291077
2022,88,179291683
2022,88,179291642
2022,88,181619753
2022,88,179291542
2022,88,179291094
2022,88,179291278
2022,88,197540527
2022,88,179291121
2022,88,179290877
2022,88,179290913
2022,88,181619775
2022,88,179290965
2022,88,179291259
2022,88,179290957
2022,88,179291152
2022,88,179291336
2022,88,179291624
2022,88,179291625
2022,88,179290775
2022,88,179291474
2022,88,180877901
2022,88,180877902
2022,88,180877903
2022,88,179291027
2022,88,179291700
2022,88,180877895
2022,88,179290803
2022,88,179290804
2022,88,179291113
2022,88,179290932
