data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2022,150590580,151569497,7,,
2022,153820627,155326464,7,1,
2022,161465000,164157796,7,,
2022,153819423,155324870,7,1,
2022,152990297,154371166,7,1,
2022,148833741,149542977,4,,
2022,152630255,153948830,7,,
2022,152630256,153948830,8,,
2022,150016289,150921281,7,,
2022,148834996,149544227,1,,
2022,148834997,149544227,5,,
2022,150016861,150921998,4,,
2022,150586591,151564605,6,,
2022,148837914,149547278,5,,
2022,148837915,149547278,7,,
2022,148837674,149546987,4,,
2022,148837944,149547321,6,,
2022,148838020,149547400,4,,
2022,153819418,155324861,1,,
2022,148837966,149547347,4,,
2022,150016726,150921810,4,,
2022,148837844,149547191,4,,
2022,148837818,149547159,4,,
2022,150016819,150921943,7,1,
2022,150016739,150921828,4,,
2022,148837987,149547366,4,,
2022,150016572,150921614,4,,
2022,148837977,149547356,4,,
2022,148837710,149547031,4,,
2022,152626343,153943822,4,,
2022,148838298,149547717,7,,
2022,161464076,164156592,7,,
2022,156209557,158095467,7,1,
2022,148837641,149546948,4,,
2022,148837642,149546948,7,,
2022,150586458,151564425,4,,
2022,148837986,149547365,7,,
2022,148837950,149547328,4,,
2022,148838031,149547415,4,,
2022,148838028,149547412,4,,
2022,148837751,149547081,7,,
2022,148837709,149547030,7,,
2022,161464074,164156590,4,,
2022,148837964,149547344,4,,
2022,152626218,153943610,7,,
2022,162558746,165442465,7,,
2022,150017042,150922217,4,,
2022,148838174,149547574,4,,
2022,150016821,150921945,4,,
2022,150016822,150921945,7,,
2022,148839940,149549688,4,,
2022,148837940,149547317,7,,
2022,148838201,149547606,4,,
2022,150586583,151564593,7,1,
2022,151600089,152746458,7,,
2022,148837801,149547132,7,,
2022,150016650,150921705,4,,
2022,151600066,152746414,7,,
2022,148837929,149547297,4,,
2022,148837806,149547142,4,,
2022,148838050,149547436,7,,
2022,148838051,149547437,7,,
2022,148837945,149547322,4,,
2022,148837947,149547325,7,,
2022,150016763,150921860,7,,
2022,148837683,149547000,7,,
2022,151600051,152746389,1,,
2022,148838128,149547521,4,,
2022,148838129,149547521,7,,
2022,152626388,153943885,7,,
2022,148837863,149547213,7,,
2022,148837696,149547015,4,,
2022,148837930,149547299,5,,
2022,148837766,149547098,4,,
2022,148837767,149547098,7,,
2022,158959534,161263920,7,,
2022,148838205,149547610,7,1,
2022,148837889,149547249,5,,
2022,148837890,149547249,7,,
2022,148838140,149547532,1,,
2022,148837865,149547216,4,,
2022,148838070,149547460,5,,
2022,148838071,149547460,7,,
2022,148838010,149547388,4,,
2022,148838011,149547388,7,,
2022,148838290,149547708,4,,
2022,148838113,149547507,7,,
2022,148837904,149547268,7,,
2022,148838060,149547450,4,,
2022,148838061,149547450,7,,
2022,148837894,149547252,7,,
2022,148837924,149547291,4,,
2022,148837823,149547166,4,,
2022,148837824,149547166,7,,
2022,150016680,150921746,7,,
2022,148838062,149547451,7,,
2022,148837907,149547273,4,,
2022,150586620,151564648,7,1,
2022,148838172,149547571,7,,
2022,152626212,153943602,5,,
2022,162559043,165442752,7,,
2022,148837784,149547118,7,1,
2022,150016641,150921696,5,,1
2022,150016642,150921696,7,1,
2022,148837816,149547158,4,,
2022,148837817,149547158,7,,
2022,150586628,151564661,4,,
2022,150586629,151564661,7,,
2022,152626372,153943866,4,,
2022,155152152,156855689,4,,
2022,155152153,156855689,5,,
2022,148837967,149547346,4,,
2022,148837969,149547346,7,,
2022,148838022,149547403,7,,
2022,148837916,149547280,7,,
2022,148837804,149547138,5,,
2022,148837805,149547138,7,,
2022,148837888,149547248,4,,
2022,148837949,149547327,7,,
2022,158959562,161263971,1,,
2022,148838034,149547417,4,,
2022,148837820,149547164,7,,
2022,148837842,149547189,4,,
2022,148837843,149547189,7,,
2022,162558958,165442670,1,,
2022,148837989,149547368,4,,
2022,148837990,149547368,7,,
2022,148838108,149547502,4,,
2022,148838109,149547502,7,,
2022,148837645,149546953,4,,
2022,148837646,149546953,7,,
2022,148838104,149547496,4,,
2022,162558796,165442518,7,,
2022,150016797,150921912,7,,
2022,148838116,149547510,4,,
2022,148838117,149547510,7,,
2022,148837891,149547250,1,,
2022,148837892,149547250,4,,
2022,158959674,161264186,1,,
2022,148838084,149547476,4,,
2022,148838085,149547476,7,,
2022,148837713,149547033,4,,
2022,148837714,149547033,7,,
2022,148837774,149547107,4,,
2022,148838090,149547482,4,,
2022,148838091,149547482,8,,
2022,148837791,149547125,7,,
2022,148838164,149547561,7,,
2022,148837636,149546943,7,,
2022,148837803,149547137,7,,
2022,148837899,149547260,7,1,
2022,148838043,149547426,4,,
2022,148838064,149547454,4,,
2022,148838065,149547454,7,,
2022,148837895,149547253,7,,
2022,150586561,151564564,4,,
2022,150586562,151564564,7,,
2022,148838192,149547596,7,,
2022,148837919,149547288,4,,
2022,148837920,149547288,7,,
2022,148837961,149547342,4,,
2022,150016597,150921647,4,,
2022,150016598,150921647,7,,
2022,148837936,149547312,7,1,
2022,148837998,149547377,4,,
2022,148837999,149547377,7,,
2022,148837796,149547130,7,,
2022,150586612,151564640,4,,
2022,148838088,149547480,4,,
2022,148838089,149547480,7,,
2022,150016473,150921484,4,,
2022,150016474,150921484,7,,
2022,150586490,151564472,7,,
