"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,9,147151354
2019,9,144331224
2019,9,139559014
2019,6,139558878
2019,9,139576303
2019,6,139559025
2019,9,139576739
2019,6,139559027
2019,8,139559027
2019,9,139559028
2019,9,139576741
2019,9,139559033
2019,9,139559035
2019,8,139576756
2019,6,139576751
2019,6,139576752
2019,9,139576753
2019,8,139576754
2019,8,139576755
2019,8,139576760
2019,6,139576761
2019,8,139576761
2019,6,139576762
2019,9,139576768
2019,9,139576770
2019,9,139576774
2019,6,139576776
2019,8,139576778
2019,9,139576780
2019,9,139576786
2019,6,139576788
2019,8,139576789
2019,6,139576790
2019,1,139576801
2019,8,139576802
2019,6,139576802
2019,8,139576803
2019,8,139576804
2019,8,139576805
2019,9,139576807
2019,6,139576809
2019,6,139576810
2019,6,139576811
2019,6,139576819
2019,8,139576819
2019,9,139576834
2019,9,139576839
2019,8,139576841
2019,9,139576849
2019,6,139576851
2019,6,139576854
2019,8,139576854
2019,8,139576856
2019,9,142567234
2019,6,139571311
2019,1,139558915
2019,9,142571543
2019,9,142571538
2019,9,142571542
2019,8,142571546
2019,6,142571546
2019,9,142567237
2019,8,142567243
2019,9,145496796
2019,9,145496793
2019,9,145496801
2019,9,145496806
2019,8,145496813
2019,6,145496813
2019,1,139576347
2019,9,139571337
2019,9,139571339
2019,9,142567238
2019,9,145496799
2019,6,137046966
2019,8,137037412
2019,6,137045291
2019,8,137045339
2019,8,137037712
2019,6,137037712
2019,6,129739915
2019,6,129729588
2019,9,129739881
2019,8,129729613
2019,9,129729614
2019,6,129729622
2019,6,129729630
2019,9,129739960
2019,9,137037327
2019,8,137037349
2019,6,129729653
2019,9,129729631
2019,9,129729647
2019,1,129729650
2019,9,129729649
2019,6,129729756
2019,9,129729577
2019,8,137045318
2019,6,129739874
2019,6,129729672
2019,9,139571289
2019,6,139576342
2019,6,137045202
2019,8,137045316
2019,9,137037615
2019,9,137045266
2019,9,139576458
2019,9,139558884
2019,9,139571303
2019,9,137037627
2019,6,137047154
2019,8,137037639
2019,8,137047193
2019,8,137037764
2019,6,137037764
2019,9,137037788
2019,8,137037792
2019,6,137037792
2019,8,129739946
2019,6,129739946
2019,9,139576267
2019,9,139571343
2019,6,139576469
2019,6,139576474
2019,9,139558987
2019,9,139576489
2019,6,129739910
2019,9,129729725
2019,8,129739963
2019,6,129729593
2019,8,129729593
2019,8,137045128
2019,8,137047009
2019,6,137047009
2019,8,137045142
2019,11,137037498
2019,9,137045324
2019,8,129734572
2019,3,129729597
2019,6,129729598
2019,6,129729735
2019,6,129729751
2019,6,129729683
