"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,115754801,1,11,11290716
2019,11,115754807,6,1,11297848
2019,5,115754807,1,1,11297850
2019,2,115754807,4,1,11297849
2019,5,117797134,2,1,11842022
2019,5,117797135,0.1,1,11842023
2019,5,117797136,0.1,1,11842024
2019,11,117797138,1,9,11842025
2019,5,117797139,,,11842026
2019,4,109989042,2,1,10282666
2019,11,109993871,11.3,1,10282672
2019,5,115764517,1,9,11286046
2019,5,115754800,1,11,11297845
2019,11,115754933,1,9,11286084
2019,10,115759584,1.38,3,11290761
2019,5,115764691,0.1,1,11297885
2019,2,109983801,1,1,10272749
2019,18,109983837,,,10272758
2019,12,109983837,1,9,10282677
2019,11,109983837,14,9,10282676
2019,11,109983783,1,1,10272745
2019,5,109983795,15,1,10272747
2019,5,109993832,,,10277712
2019,5,109983853,1.4,1,10282679
2019,1,109983861,0.4,1,10282682
2019,5,109983784,0.333,3,10272744
2019,16,109989049,61.5,9,10282674
2019,12,109989049,1.5,1,10282673
2019,5,115754808,0.3,1,11290719
2019,4,115759469,0.2,1,11297852
2019,2,115759469,0.9,1,11286051
2019,12,115764714,1,9,11297891
2019,5,115754849,2,9,11290734
2019,11,115759518,1,1,11297859
2019,5,115754928,1,11,11290757
2019,5,115764675,1,9,11290766
2019,11,115755003,1,1,11286105
2019,5,117796900,,,11841973
2019,10,117796919,0.13,3,11841974
2019,1,117796936,1,11,11841975
2019,11,117796963,16,1,11841976
2019,5,117796969,1,11,11841978
2019,5,117796971,1,1,11841979
2019,5,117796972,1,1,11841980
2019,5,117796989,1,1,11841985
2019,5,117796990,1,1,11841986
2019,11,117796991,1,9,11841987
2019,5,117797006,,,11841989
2019,5,117797021,1,11,11841992
2019,5,117797022,1,11,11841993
2019,5,117797025,1,11,11841994
2019,5,117797031,1,11,11841995
2019,5,117797039,4.4,1,11841998
2019,11,117797055,1,1,11841999
2019,11,117797074,1,9,11842000
2019,5,117797077,1.4,1,11842001
2019,5,117797081,0.8,1,11842003
2019,5,117797083,1,1,11842005
2019,5,117797084,81.2,1,11842006
2019,5,117797085,1,1,11842007
2019,11,117797097,1,1,11842009
2019,11,117797101,1,9,11842010
2019,5,117797105,,,11842011
2019,1,117797122,0.5,1,11842017
2019,5,117797129,,,11842018
2019,8,117797130,38,9,11842019
2019,5,117797131,1,11,11842020
2019,2,117797132,1,1,11842021
2019,5,115754926,0.5,1,11290756
2019,5,115754739,0.01,1,11286038
2019,11,115764473,1,9,11297828
2019,5,115754760,0.5,1,11286039
2019,11,115764485,6.5,1,11297830
2019,11,115764485,1,9,11297831
2019,5,115754820,9.7,1,11286053
2019,5,115764560,1.7,1,11297855
2019,5,115759513,10.8,1,11290732
2019,5,115764599,,,11290740
2019,4,115764606,0.5,1,11297865
2019,5,115759546,0.5,1,11297866
2019,5,115764629,1,1,11297871
2019,11,115759568,1,9,11297872
2019,5,115764467,378,1,11297827
2019,5,115754778,1,1,11286044
2019,12,122833868,1,9,13379436
2019,10,122826680,0.25,3,13384069
2019,4,122826597,1.7,1,13384057
2019,2,122826597,23.1,1,13384056
2019,5,122826597,34.5,1,13384055
2019,11,122826697,4,1,13384074
2019,5,122826632,1,1,13384059
2019,5,115764459,20,1,11286037
2019,5,115764478,0.01,1,11297829
2019,5,115759447,1,1,11290711
