"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,147151350
2019,21,147151354
2019,21,147151356
2019,21,144331220
2019,21,144331221
2019,21,144331222
2019,21,144331224
2019,21,144331226
2019,21,141493559
2019,21,141493556
2019,21,141489676
2019,21,139576261
2019,21,139558873
2019,21,139558872
2019,21,139558878
2019,21,139558888
2019,21,139576303
2019,21,139559019
2019,21,139559014
2019,21,139559015
2019,21,139559016
2019,21,139576546
2019,21,139576547
2019,21,139559021
2019,21,139559022
2019,21,139576566
2019,21,139559025
2019,21,139559026
2019,21,139576739
2019,21,139559027
2019,21,139559028
2019,21,139576741
2019,21,139559031
2019,21,139559032
2019,21,139559033
2019,21,139559035
2019,21,139559036
2019,21,139559039
2019,21,139559040
2019,21,139576327
2019,21,139558863
2019,21,139558864
2019,21,139576271
2019,21,139576326
2019,21,139571284
2019,21,139576754
2019,21,139576752
2019,21,139576751
2019,21,139576753
2019,21,139576756
2019,21,139576755
2019,21,139576757
2019,21,139576758
2019,21,139576760
2019,21,139576761
2019,21,139576762
2019,21,139576764
2019,21,139576766
2019,21,139576767
2019,21,139576768
2019,21,139576769
2019,21,139576770
2019,21,139576773
2019,21,139576775
2019,21,139576774
2019,21,139576776
2019,21,139576778
2019,21,139576779
2019,21,139576780
2019,21,139576783
2019,21,139576786
2019,21,139576788
2019,21,139576789
2019,21,139576790
2019,21,139576791
2019,21,139576792
2019,21,139576794
2019,21,139576795
2019,21,139576796
2019,21,139576797
2019,21,139576799
2019,21,139576798
2019,21,139576800
2019,21,139576801
2019,21,139576802
2019,21,139576803
2019,21,139576804
2019,21,139576805
2019,21,139576806
2019,21,139576807
2019,21,139576808
2019,21,139576809
2019,21,139576810
2019,21,139576811
2019,21,139576812
2019,21,139576813
2019,21,139576815
2019,21,139576816
2019,21,139576817
2019,21,139576818
2019,21,139576819
2019,21,139576829
2019,21,139576830
2019,21,139576832
2019,21,139576833
2019,21,139576834
2019,21,139576835
2019,21,139576836
2019,21,139576837
2019,21,139576838
2019,1,139576839
2019,21,139576840
2019,21,139576841
2019,21,139576843
2019,21,139576844
2019,21,139576845
2019,21,139576846
2019,21,139576848
2019,21,139576849
2019,21,139576851
2019,21,139576852
2019,21,139576853
2019,21,139576854
2019,21,139576855
2019,21,139576856
2019,21,139576858
2019,21,139576859
2019,21,139576860
2019,21,139576861
2019,21,143469565
2019,21,143469567
2019,21,143469568
2019,21,143469564
2019,21,143469559
2019,21,143461706
2019,21,143469566
2019,21,142567244
2019,21,142567247
2019,21,142567246
2019,21,142567234
2019,21,139558915
2019,21,139571266
2019,21,139571311
2019,21,139576321
2019,21,139571291
2019,21,139576295
2019,21,142571547
2019,21,142571543
2019,21,142571546
2019,21,142571536
2019,21,142571538
2019,21,142571542
2019,21,142567237
2019,21,142571551
2019,21,142571553
2019,21,142567243
2019,21,142571558
2019,21,145496793
2019,21,145496797
2019,21,145496796
2019,21,145496787
2019,21,145496801
2019,21,145496802
2019,21,145496803
2019,21,145496806
2019,21,145496810
2019,21,145496813
2019,21,145496817
2019,21,145496819
2019,21,139576343
2019,21,139576344
2019,21,139576347
2019,21,139558906
2019,21,139576265
2019,21,139571269
2019,21,139558894
2019,21,139558907
2019,21,139576317
2019,21,139576339
2019,21,139558930
2019,21,139571336
2019,21,139571337
2019,21,139571339
2019,21,142567238
2019,21,142571535
2019,21,142567236
2019,21,142564502
2019,21,142564501
2019,21,142564510
2019,21,145496794
2019,21,145496788
2019,21,145496795
2019,21,145495703
2019,21,145495707
2019,21,145495708
2019,21,145496792
2019,21,145496799
2019,21,145496805
2019,21,145496804
2019,21,139571275
2019,21,139558869
2019,21,139571273
2019,21,139571274
2019,21,139576294
2019,21,139571312
2019,21,137046966
2019,21,137046954
2019,21,137037412
2019,21,137045291
2019,21,137037712
2019,21,137045339
2019,21,129739850
2019,21,129739901
2019,21,129729569
2019,21,129739902
2019,21,129729763
2019,21,129739971
2019,21,129739852
2019,21,129739857
2019,21,129739915
2019,21,129729614
2019,21,129729588
2019,21,129739881
2019,21,129729613
2019,21,129729618
2019,21,129729622
2019,21,129729630
2019,21,129729636
2019,21,129729727
2019,21,129739960
2019,21,129729730
2019,21,137046934
2019,21,137037327
2019,21,137037333
2019,21,137037349
2019,21,137045053
2019,21,137045066
2019,21,129729644
2019,21,129729602
2019,21,129729632
2019,21,129729639
2019,21,129729653
2019,21,129739958
2019,21,129729649
2019,21,129729631
2019,21,129729647
2019,21,129729650
2019,21,129729648
2019,21,129734515
2019,21,129739912
2019,21,129739932
2019,21,129729713
2019,21,129729749
2019,21,129739981
2019,21,129729756
2019,21,129734467
2019,21,129739837
2019,21,129729577
2019,21,129729585
2019,21,129739858
2019,21,129729681
2019,21,129739918
2019,21,129739938
2019,21,137037711
2019,21,138279183
2019,21,137046942
2019,21,137045363
2019,21,137045318
2019,21,137045090
2019,21,137045054
2019,21,137047176
2019,21,137037731
2019,21,137045352
2019,21,137037772
2019,21,137037795
2019,21,129739874
2019,21,129739892
2019,21,129729657
2019,21,129729672
2019,21,129739924
2019,21,129734530
2019,21,139576248
2019,21,139576250
2019,21,139571258
2019,21,139571289
2019,21,139558896
2019,21,139576305
2019,21,139576329
2019,21,139558898
2019,21,137045303
2019,21,139576342
2019,21,139558920
2019,21,137045196
2019,21,137045202
2019,21,137045316
2019,21,137037615
2019,21,137045266
2019,21,139571315
2019,21,139576448
2019,21,139576442
2019,21,139576445
2019,21,139576447
2019,21,139576451
2019,21,139558971
2019,21,139576453
2019,21,139576457
2019,21,139576458
2019,21,139558884
2019,21,139571303
2019,21,137047154
2019,21,137037614
2019,21,137037624
2019,21,137037627
2019,21,137037639
2019,21,137037680
2019,21,137037694
2019,21,137037706
2019,21,137037715
2019,21,137047193
2019,21,137037743
2019,21,137037744
2019,21,137037764
2019,21,137045356
2019,21,137047202
2019,21,137045359
2019,21,137037784
2019,21,137037788
2019,21,137037792
2019,21,129739925
2019,21,129739946
2019,21,129729720
2019,21,139576267
2019,21,139576464
2019,21,139571318
2019,21,139571343
2019,21,139576462
2019,21,139576465
2019,21,139576470
2019,21,139576472
2019,21,139576474
2019,21,139576473
2019,21,139576476
2019,21,139576478
2019,21,139576479
2019,21,139576480
2019,21,139576483
2019,21,139558987
2019,21,139576487
2019,21,139576488
2019,21,139558989
2019,21,139576489
2019,21,139576490
2019,21,139576491
2019,21,139576495
2019,21,139576497
2019,21,139576499
2019,21,129729587
2019,21,139576469
2019,21,139576471
2019,21,129739910
2019,21,129729673
2019,21,129729593
2019,21,129729725
2019,21,129739963
2019,21,129734572
2019,21,137045128
2019,21,137037649
2019,21,137047009
2019,21,137045142
2019,21,137045161
2019,21,137037498
2019,21,137045325
2019,21,137045324
2019,21,129729581
2019,21,129729590
2019,21,129734469
2019,21,129734468
2019,21,129729597
2019,21,129729598
2019,21,129734501
2019,21,129739965
2019,21,129729735
2019,21,129729751
2019,21,129729683
2019,21,129729699
2019,21,129739947
2019,21,129729712
2019,21,137037638
2019,21,137037619
2019,21,137045281
2019,21,137045283
2019,21,137045308
2019,21,137045317
2019,21,137045320
2019,21,137045328
2019,21,137045329
2019,21,137037724
2019,21,129734484
2019,21,129729605
2019,21,129739870
2019,21,129729608
2019,21,129729709
2019,21,137037459
2019,21,137037447
2019,21,137045117
2019,21,137045126
2019,21,137037500
2019,21,137045166
2019,21,137045187
2019,21,137037517
2019,21,137037529
2019,21,137037546
2019,21,137047089
2019,21,137037560
2019,21,129729607
2019,21,129734486
2019,21,129734487
2019,21,129734485
2019,21,129729627
2019,21,129734513
2019,21,129729669
2019,21,129729666
2019,21,129734523
2019,21,129729680
2019,21,129734552
2019,21,129729745
2019,21,137037672
2019,21,137037678
2019,21,129729582
2019,21,129729567
2019,21,129729570
2019,21,129729574
2019,21,129729583
2019,21,129739860
2019,21,129739868
2019,21,129729646
2019,21,129734551
2019,21,129729710
2019,21,129729715
2019,21,137037542
2019,21,137045189
2019,21,137045212
2019,21,137045213
2019,21,137045243
2019,21,137045262
2019,21,129729586
2019,21,129734476
2019,21,129734502
2019,21,129734569
2019,21,129729746
2019,21,129729747
2019,21,137045042
2019,21,137045043
2019,21,137045046
2019,21,137045069
2019,21,137037424
2019,21,138274032
2019,21,138274033
2019,21,138274030
2019,21,138274031
2019,21,138274034
2019,21,138274035
2019,21,138274037
2019,21,139576256
2019,21,138283990
2019,21,129734454
2019,21,129734449
2019,21,129734448
2019,21,129734453
2019,21,129734458
2019,21,129734459
2019,21,129734455
2019,21,129734456
2019,21,129734473
2019,21,129734474
2019,21,129729601
2019,21,129734478
2019,21,129734480
2019,21,129739872
2019,21,139576352
2019,21,139558925
2019,21,139558934
2019,21,139571338
2019,21,139576394
