"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,20,147151354,29189026
2019,12,147151356,29189028
2019,12,144331224,28231784
2019,2,139558878,26323356
2019,9,139576261,26336782
2019,12,139559014,26323429
2019,12,139559019,26323432
2019,12,139576739,26336994
2019,3,139576566,26336923
2019,12,139559028,26323434
2019,12,139576741,26336996
2019,3,139559031,26323437
2019,12,139559033,26323438
2019,20,139559035,26323440
2019,12,139559036,26323441
2019,18,139559040,26323443
2019,12,139576327,26336817
2019,12,139576753,26337001
2019,12,139576757,26337002
2019,12,139576758,26337003
2019,12,139576764,26337006
2019,12,139576766,26337008
2019,12,139576767,26337009
2019,12,139576768,26337010
2019,12,139576769,26337011
2019,12,139576770,26337012
2019,12,139576773,26337015
2019,12,139576774,26337016
2019,18,139576779,26337017
2019,12,139576780,26337018
2019,12,139576786,26337021
2019,12,139576791,26337023
2019,18,139576791,26337024
2019,12,139576792,26337025
2019,12,139576794,26337026
2019,12,139576795,26337027
2019,12,139576796,26337028
2019,12,139576797,26337029
2019,12,139576806,26337030
2019,12,139576807,26337031
2019,9,139576808,26337032
2019,12,139576815,26337033
2019,12,139576817,26337034
2019,12,139576818,26337035
2019,12,143469567,27997748
2019,12,143469564,27997747
2019,12,143469559,27997746
2019,12,143461706,27991907
2019,12,139576829,26337038
2019,12,139576834,26337040
2019,12,139576837,26337041
2019,12,139576838,26337042
2019,12,139576839,26337043
2019,18,139576840,26337044
2019,12,139576843,26337046
2019,12,139576844,26337047
2019,12,139576845,26337048
2019,12,139576849,26337049
2019,12,139576852,26337051
2019,9,139576853,26337052
2019,9,142567247,27691820
2019,12,142567234,27691815
2019,12,139571266,26341779
2019,9,142571538,27683616
2019,12,142571542,27683618
2019,18,142571543,27683619
2019,12,142571547,27683622
2019,12,142567237,27691817
2019,12,142571551,27683624
2019,12,142571558,27683626
2019,18,142571558,27683627
2019,12,145496797,28560073
2019,12,145496796,28560072
2019,12,145496787,28560070
2019,12,145496793,28560071
2019,2,145496801,28560077
2019,3,145496803,28560078
2019,12,145496806,28560079
2019,12,145496817,28560085
2019,12,145496819,28560086
2019,12,139576343,26336828
2019,12,139576265,26336785
2019,3,139576317,26341804
2019,12,139571336,26341828
2019,18,139571336,26341829
2019,18,139571337,26341830
2019,12,139571339,26341833
2019,12,142571535,27683614
2019,12,142567236,27691816
2019,12,145495708,28568935
2019,12,142564501,27687334
2019,12,142564510,27687339
2019,12,145496799,28560075
2019,12,139558869,26323355
2019,20,139571273,26341780
2019,12,139571312,26341805
2019,12,137046954,25587310
2019,12,129739901,23695565
2019,12,129739852,23705692
2019,12,129739902,23705710
2019,9,129729588,23700596
2019,12,129739881,23700607
2019,12,129729614,23695555
2019,12,129729618,23705705
2019,12,129729727,23695605
2019,12,129739960,23695604
2019,12,129729730,23700651
2019,12,137037327,25582579
2019,12,137037333,25582582
2019,12,137046934,25587300
2019,12,137045053,25582610
2019,12,129729602,23695546
2019,18,129729632,23700615
2019,12,129729644,23700623
2019,9,129739958,23705741
2019,12,129729631,23695561
2019,12,129729647,23695571
2019,12,129729649,23695572
2019,12,129739912,23705716
2019,3,129729756,23695619
2019,12,129729577,23700592
2019,9,129729681,23695585
2019,3,129739918,23695588
2019,3,129739938,23705727
2019,12,129739938,23705728
2019,18,129739938,23705726
2019,18,137037711,25580670
2019,12,137046942,25587305
2019,12,137047176,25587404
2019,12,129739892,23700614
2019,12,129739924,23705720
2019,12,139576250,26336778
2019,18,139571289,26323363
2019,18,139558898,26323368
2019,12,139576305,26336805
2019,12,139558920,26336827
2019,12,137037615,25580651
2019,12,137045266,25580650
2019,12,139571315,26341808
2019,12,139576442,26336879
2019,12,139576451,26336882
2019,12,139576458,26336883
2019,12,137037614,25582723
2019,12,137037624,25582727
2019,12,137037627,25582730
2019,3,137047154,25587392
2019,9,137037680,25582765
2019,12,137037788,25580697
2019,12,129739925,23705721
2019,12,129729720,23705739
2019,12,139576267,26323357
2019,12,139571318,26341811
2019,12,139571343,26341837
2019,12,139576473,26336888
2019,3,139576483,26336893
2019,18,139558987,26323417
