"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,124068156,26,300,,137683858
2019,124068158,26,144,,137683866
2019,124068158,23,800,,137683865
2019,124068159,23,1000,,137683867
2019,121959610,23,350,22-NOV-19,134757402
2019,121959611,23,350,,134757403
2019,121959611,63,125,,134757404
2019,121959611,13,70,,134757405
2019,121959611,25,20,,134757406
2019,121959614,38,400,,134757411
2019,119504559,21,100,,131831070
2019,117803211,16,35,,129019412
2019,117803215,20,60,,129019416
2019,117803209,35,1000,,129019410
2019,117803210,38,100,,129019411
2019,117803212,4,600,,129019413
2019,117803134,25,180,,129019302
2019,117803133,63,41,,129019301
2019,117803133,38,330,,129019300
2019,117803134,38,75,,129019303
2019,117803134,16,30,,129019304
2019,117803134,63,21,,129019305
2019,117803217,20,1,,129019418
2019,117803216,38,1500,,129019417
2019,117803219,10,,,129019419
2019,117803220,63,130,,129019420
2019,117803221,10,,,129019421
2019,117803222,23,500,,129019422
2019,117803223,23,800,,129019423
2019,117803227,25,20,,129019426
2019,117803227,63,1,,129019427
2019,117803227,9,0,,129019428
2019,117803226,25,20,01-JUL-19,129019425
2019,117803127,16,20,,129019295
2019,117803128,4,600,,129019296
2019,117797003,21,480,,129022649
2019,117796855,23,1000,,129022455
2019,117807536,63,96,,129027411
2019,117797132,11,10,,129022806
2019,117797130,10,1,,129022804
2019,117797130,11,1,,129022803
2019,117797131,10,,,129022805
2019,117797132,10,10,,129022807
2019,117797133,23,1000,,129022808
2019,117797134,10,,,129022809
2019,117797135,10,,,129022810
2019,117797136,10,,,129022811
2019,117797137,16,200,,129022812
2019,117797138,10,,,129022813
2019,117797140,38,123,,129022814
2019,117797145,10,,,129022827
2019,117797147,10,,,129022828
2019,117797148,23,1000,,129022829
2019,117797151,4,300,,129022831
2019,117797150,16,20,,129022830
2019,117797152,38,546,,129022832
2019,117797154,4,180,07-AUG-19,129022833
2019,117797155,10,,,129022834
2019,117797156,10,,,129022835
2019,117797157,10,,,129022836
2019,117797158,10,,,129022837
2019,117797159,10,,,129022838
2019,117797160,10,,,129022839
2019,117797161,16,30,,129022840
2019,117797162,4,300,,129022841
2019,117797165,38,950,,129022843
2019,121276972,9,0,,133833877
2019,121276969,63,1,,133833871
2019,121276969,25,375,,133833870
2019,121276972,25,50,,133833876
2019,121276967,16,300,26-AUG-19,133833868
2019,121276968,16,300,,133833869
2019,121276960,26,144,,133833859
2019,121276960,23,899,,133833858
2019,121276970,4,800,,133833872
2019,117797166,10,,,129022844
2019,121276972,26,225,,133833873
2019,121276972,21,100,,133833874
2019,121276972,63,75,,133833875
2019,117797174,21,117,,129022862
2019,117797175,63,10,,129022863
2019,117797176,38,500,,129022864
2019,117797177,21,300,,129022865
2019,117797178,63,40,,129022867
2019,117797178,4,420,,129022866
2019,117797179,38,3215,,129022868
2019,117797180,10,,,129022869
2019,117797182,3,27830,,129022873
2019,117797184,16,25,,129022876
2019,117797184,4,150,,129022875
2019,117797185,10,,,129022877
2019,117797186,10,,,129022878
2019,117797187,23,1300,,129022879
2019,117797188,10,,,129022880
2019,117797189,63,3215,,129022881
2019,117797190,38,150,,129022882
2019,117797191,4,200,,129022883
2019,117797192,15,2300,,129022884
2019,120566194,38,500,,132928281
2019,117807535,11,5,,129027410
2019,120566195,23,600,,132928282
2019,120566190,25,6,,132928275
2019,120566190,23,200,,132928274
2019,120566190,19,1,,132928276
2019,117796866,38,650,,129022472
2019,117803148,63,134,28-AUG-19,129019324
2019,117807529,6,30,,129027401
2019,120562897,23,300,,132922061
2019,120562901,10,,,132922069
2019,120562896,25,135,,132922058
2019,120562896,6,50,,132922060
2019,120562896,63,100,,132922059
2019,120562897,63,1,,132922063
2019,120562897,25,10,,132922062
2019,120562908,10,,,132922074
2019,122826620,9,0,,135939771
2019,122826623,33,300,,135939779
2019,122826616,6,220,,135939762
2019,122826620,16,1,,135939770
2019,122826620,25,15,,135939769
2019,122826620,21,40,,135939768
2019,122826629,4,500,,135939784
2019,122826629,63,35,,135939785
2019,122826629,16,25,,135939786
2019,122826632,10,,,135939790
2019,122826635,26,250,,135939793
2019,117803151,16,300,,129022479
2019,117796870,63,20,24-MAR-19,129022480
2019,117807523,38,500,,129027394
2019,117803145,4,200,,129019319
2019,117803144,16,10,,129022468
2019,117807537,63,500,,129022477
2019,122826619,24,30000,,135939766
2019,120557712,4,400,01-SEP-19,132924985
2019,120557713,4,400,,132924986
2019,122826610,16,75,,135939754
