"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,133333793,121549353,1,4,,,,5,30,"F",1,1,"N",30,0
2019,133333795,121551726,1,4,,,,5,13,"M",2,2,"R",13,0
2019,133333797,121551728,1,4,,,,5,15,"M",1,1,"R",15,0
2019,130462959,119076144,1,4,,,,5,15,"F",1,1,"R",15,0
2019,130462960,119076145,1,4,,,,5,22,"M",2,2,"R",22,0
2019,130462962,119076147,1,4,,,,5,30,"F",1,2,"R",30,0
2019,130462964,119076148,2,4,,,,5,52,"F",1,3,"R",52,0
2019,130462963,119076148,1,4,,,,5,26,"M",2,2,"R",26,0
2019,127610879,116497388,1,4,,,,5,37,"F",2,3,"R",35,40
2019,127605385,116497389,1,5,7,11,,5,36,"M",2,2,"N",36,0
2019,127610880,116497390,1,5,6,7,,5,35,"M",2,2,"R",35,0
2019,126049274,114331727,1,4,,,,5,53,"M",2,2,"R",53,0
2019,126049278,114331731,1,4,,,,5,27,"F",1,2,"N",27,0
2019,126053480,114346153,1,8,,,,,,"",,,"",,
2019,126049295,114331745,1,4,,,,5,56,"M",2,2,"R",56,0
2019,126049314,114331761,1,4,,,,5,42,"M",2,2,"R",42,0
2019,126049411,114331855,1,4,,,,5,16,"F",2,2,"R",16,0
2019,126049412,114331856,1,3,,,,,,"",,,"",,
2019,126049413,114331857,1,3,,,,,,"",,,"",,
2019,126049414,114331858,1,4,,,,5,23,"M",1,2,"R",23,0
2019,126049417,114331861,1,4,,,,5,21,"M",2,2,"N",21,0
2019,126049421,114331863,3,4,,,,5,71,"M",2,1,"R",71,0
2019,126049419,114331863,1,4,,,,5,53,"F",2,2,"R",53,0
2019,126049420,114331863,2,4,,,,5,32,"M",2,2,"R",32,0
2019,126049422,114331863,4,4,,,,5,52,"M",1,2,"N",52,0
2019,126049423,114331863,5,4,,,,5,28,"F",1,2,"N",28,0
2019,126053790,114331865,1,4,,,,5,20,"M",2,2,"N",20,0
2019,126049425,114331866,1,8,,,,,,"",,,"",,
2019,126049426,114331867,1,1,,,,,,"",,,"",,
2019,126053966,114346602,1,4,,,,5,36,"M",2,2,"R",36,0
2019,126049427,114331868,1,8,,,,,,"",,,"",,
2019,126049428,114331869,1,4,,,,5,29,"M",2,2,"N",29,0
2019,126049430,114331871,1,4,,,,5,12,"M",2,2,"R",12,0
2019,126049432,114331873,1,4,,,,5,30,"F",2,2,"N",30,0
2019,126049433,114331874,1,4,,,,5,39,"F",2,2,"N",39,0
2019,126049434,114331875,1,4,,,,5,56,"M",2,2,"R",56,0
2019,126049436,114331877,1,5,7,7,,5,36,"M",2,2,"U",36,0
2019,126049437,114331878,1,4,,,,5,33,"F",1,2,"R",33,0
2019,126049438,114331879,1,4,,,,5,37,"M",2,2,"R",37,0
2019,126049439,114331880,1,4,,,,5,44,"M",2,2,"R",44,0
2019,126049270,114331722,1,4,,,,5,20,"M",1,2,"R",20,0
2019,126049283,114331735,1,4,,,,5,44,"M",1,3,"R",44,0
2019,126049296,114331746,1,4,,,,5,29,"M",2,2,"N",29,0
2019,126049330,114331774,1,3,,,,,,"",,,"",,
2019,126053547,114331775,1,4,,,,5,49,"M",2,2,"R",49,0
2019,126053985,114346615,1,8,,,,,,"",,,"",,
2019,126053986,114346616,1,5,7,4,,5,39,"M",1,2,"N",39,0
2019,126053987,114346617,1,8,,,,,,"",,,"",,
2019,126053988,114346618,1,8,,,,,,"",,,"",,
2019,126053989,114346619,1,4,,,,5,20,"M",2,2,"N",20,0
2019,126053990,114346620,1,5,7,6,,5,28,"F",2,2,"N",28,0
2019,126053992,114346622,1,8,,,,,,"",,,"",,
2019,126053993,114346623,1,8,,,,,,"",,,"",,
2019,126053994,114346624,1,8,,,,,,"",,,"",,
2019,126053996,114346626,1,4,,,,5,41,"F",2,2,"R",41,0
2019,126053998,114346628,1,4,,,,5,34,"M",1,1,"R",34,0
2019,126053999,114346629,1,4,,,,5,29,"M",1,1,"N",29,0
2019,126054000,114346630,1,4,,,,5,22,"M",2,2,"R",22,0
2019,126054001,114346631,1,4,,,,5,58,"F",2,2,"R",58,0
2019,126054002,114346632,1,4,,,,5,53,"M",2,2,"R",53,0
2019,126054005,114346635,1,4,,,,5,26,"M",1,2,"R",26,0
2019,126054006,114346636,1,4,,,,5,56,"M",1,2,"R",56,0
2019,126054007,114346637,1,8,,,,,,"",,,"",,
2019,126054009,114346639,1,8,,,,,,"",,,"",,
2019,126054010,114346640,1,4,,,,5,36,"M",2,2,"R",36,0
2019,126054011,114346641,1,4,,,,5,53,"M",2,2,"R",53,0
2019,129586369,118309105,1,4,,,,5,24,"M",1,1,"R",24,0
2019,129586377,118309111,1,4,,,,5,13,"F",2,2,"R",13,0
2019,126054014,114346644,1,3,,,,,,"",,,"",,
2019,129578474,118309116,1,4,,,,5,15,"M",1,2,"N",15,0
2019,126054017,114346647,1,4,,,,5,28,"F",2,2,"R",28,0
2019,129586385,118309117,1,4,,,,5,47,"M",4,2,"R",47,0
2019,126054019,114346649,1,8,,,,,,"",,,"",,
2019,126054020,114346650,1,8,,,,,,"",,,"",,
2019,126054021,114346651,1,8,,,,,,"",,,"",,
2019,126054022,114346652,1,5,7,4,,5,35,"M",2,2,"R",35,0
2019,126054023,114346653,1,4,,,,5,29,"F",2,2,"N",29,0
2019,129586386,118309118,1,4,,,,5,34,"F",1,2,"R",34,0
2019,126054025,114346655,1,4,,,,5,21,"M",1,2,"N",21,0
2019,126054026,114346656,1,4,,,,5,48,"M",2,2,"N",48,0
2019,126054027,114346657,1,4,,,,5,33,"F",1,2,"N",33,0
2019,126054028,114346658,1,4,,,,5,24,"M",2,2,"R",24,0
2019,126054029,114346659,1,4,,,,5,54,"M",1,2,"R",54,0
2019,126054030,114346660,1,3,,,,,,"",,,"",,
2019,126054031,114346661,1,4,,,,5,45,"M",1,2,"N",45,0
2019,126054032,114346662,1,8,,,,,,"",,,"",,
2019,126054033,114346663,1,8,,,,,,"",,,"",,
2019,126054034,114346664,1,8,,,,,,"",,,"",,
2019,126054035,114346665,1,8,,,,,,"",,,"",,
2019,126054036,114346666,1,4,,,,5,21,"F",2,2,"R",21,0
2019,126054037,114346667,1,4,,,,5,25,"M",1,2,"R",25,0
2019,126054038,114346668,1,4,,,,5,25,"M",2,2,"R",25,0
2019,126054039,114346669,1,8,,,,,,"",,,"",,
2019,126054040,114346670,1,8,,,,,,"",,,"",,
2019,126054041,114346671,1,4,,,,5,32,"M",1,1,"R",32,0
2019,126054043,114346673,1,4,,,,5,54,"M",1,2,"R",54,0
2019,126054044,114346674,1,4,,,,5,24,"F",1,2,"N",24,0
2019,126054045,114346675,1,4,,,,5,35,"M",1,2,"R",35,0
2019,126054047,114346676,2,4,,,,5,29,"M",2,2,"N",29,0
2019,126054046,114346676,1,4,,,,5,46,"M",2,2,"R",46,0
2019,126054048,114346677,1,8,,,,,,"",,,"",,
2019,129586387,118309119,1,4,,,,5,18,"M",1,1,"R",18,0
2019,129586388,118309120,1,4,,,,5,52,"M",2,2,"R",52,0
2019,126054057,114346685,1,4,,,,5,31,"F",2,2,"R",31,0
2019,126054058,114346686,1,4,,,,5,41,"M",1,2,"R",41,0
2019,126054060,114346688,1,4,,,,4,,"M",0,3,"U",,
2019,126054061,114346689,1,3,,,,,,"",,,"",,
2019,126054062,114346690,1,4,,,,5,25,"M",2,2,"U",25,0
2019,126054063,114346691,1,4,,,,5,23,"F",1,2,"R",23,0
2019,126054064,114346692,1,3,,,,,,"",,,"",,
2019,126054065,114346693,1,4,,,,5,19,"F",2,2,"R",19,0
2019,126054066,114346694,1,4,,,,5,22,"F",2,2,"R",22,0
2019,126054067,114346695,1,4,,,,5,66,"M",1,2,"N",66,0
2019,126054068,114346696,1,4,,,,5,36,"F",2,2,"N",36,0
2019,126054069,114346697,1,8,,,,,,"",,,"",,
2019,126054071,114346699,1,4,,,,5,16,"F",2,2,"N",16,0
2019,126054072,114346700,1,4,,,,5,61,"M",2,3,"N",61,0
2019,126054073,114346701,1,4,,,,5,16,"F",2,2,"R",16,0
2019,126054074,114346702,1,4,,,,5,66,"F",4,2,"R",66,0
2019,126054076,114346704,1,4,,,,5,22,"F",2,2,"R",22,0
2019,126054077,114346705,1,4,,,,5,27,"M",2,2,"R",27,0
2019,126054079,114346707,1,8,,,,,,"",,,"",,
2019,126054080,114346708,1,4,,,,5,27,"M",2,2,"R",27,0
2019,126054081,114346709,1,4,,,,5,40,"M",2,2,"N",40,0
2019,126054082,114346710,1,8,,,,,,"",,,"",,
2019,126054083,114346711,1,4,,,,5,40,"F",1,1,"N",40,0
2019,126054084,114346712,1,8,,,,,,"",,,"",,
2019,126054086,114346714,1,3,,,,,,"",,,"",,
2019,126054087,114346715,1,4,,,,5,25,"M",1,3,"R",25,0
2019,126054088,114346716,1,4,,,,5,30,"M",1,1,"R",30,0
2019,126054089,114346717,1,3,,,,,,"",,,"",,
2019,128684486,117450179,1,4,,,,5,31,"M",2,2,"N",31,0
2019,128684502,117450187,1,3,,,,,,"",,,"",,
2019,128684504,117450188,1,4,,,,5,23,"F",4,3,"R",23,0
2019,128684505,117450189,1,4,,,,5,25,"M",2,2,"R",25,0
2019,126058161,114336182,1,4,,,,5,17,"F",2,2,"R",17,0
2019,126058199,114336215,1,8,,,,,,"",,,"",,
2019,126053543,114346213,1,3,,,,,,"",,,"",,
2019,126049327,114331771,1,1,,,,,,"",,,"",,
2019,126058182,114336201,1,4,,,,5,28,"M",1,2,"R",28,0
2019,126053514,114346183,1,4,,,,5,28,"M",2,3,"R",28,0
2019,128688135,117452728,1,4,,,,5,39,"F",1,2,"R",39,0
2019,128688136,117452729,1,4,,,,5,33,"M",1,1,"R",33,0
2019,128688139,117452732,1,4,,,,5,34,"F",1,2,"N",34,0
2019,128688140,117452733,1,4,,,,5,25,"F",2,2,"R",25,0
2019,128688144,117452736,1,8,,,,,,"",,,"",,
2019,128681426,117456798,1,4,,,,5,38,"F",0,3,"N",38,0
2019,128688146,117452738,1,4,,,,5,14,"M",2,2,"R",14,0
2019,128688148,117452740,1,4,,,,5,16,"F",2,2,"R",16,0
2019,128688150,117452742,1,4,,,,5,18,"F",1,1,"N",18,0
2019,128688154,117452743,1,8,,,,,,"",,,"",,
2019,128688159,117452748,1,4,,,,5,18,"F",2,1,"R",18,0
2019,131683666,120074011,1,4,,,,5,29,"M",1,2,"N",29,0
2019,131683672,120074015,1,4,,,,5,19,"M",1,1,"R",19,0
2019,131683675,120074018,1,4,,,,5,19,"M",1,1,"N",19,0
2019,131683677,120074020,1,4,,,,5,63,"M",1,2,"R",63,0
2019,131683681,120074024,1,4,,,,5,28,"M",2,2,"R",28,0
2019,131683682,120074024,2,3,,,,,,"",,,"",,
2019,131683683,120074025,1,4,,,,5,17,"M",2,2,"R",17,0
2019,131683685,120074027,1,4,,,,5,21,"M",2,2,"R",21,0
2019,131683689,120074031,1,4,,,,5,56,"M",1,2,"R",56,0
2019,131683690,120074032,1,8,,,,,,"",,,"",,
2019,131683695,120074036,1,4,,,,5,44,"M",2,2,"N",44,0
2019,131683697,120074038,1,4,,,,5,26,"M",1,2,"N",26,0
2019,126049336,114331779,1,4,,,,5,65,"F",2,2,"R",65,0
2019,126058207,114336227,1,3,,,,,,"",,,"",,
2019,126053481,114346155,1,4,,,,5,34,"F",2,1,"R",34,0
2019,126058164,114336185,1,4,,,,5,57,"M",2,2,"N",57,0
2019,126058187,114336206,1,4,,,,5,59,"F",2,3,"N",59,0
2019,126053528,114346197,1,4,,,,5,50,"M",1,2,"N",50,0
2019,126053540,114346210,1,4,,,,5,16,"M",2,2,"R",16,0
2019,126058204,114336223,1,3,,,,,,"",,,"",,
2019,126058216,114336235,1,4,,,,5,52,"F",2,2,"R",52,0
2019,126058224,114336242,1,4,,,,5,28,"M",2,2,"N",28,0
2019,126058225,114336243,1,4,,,,5,40,"F",2,2,"N",40,0
2019,126058226,114336244,1,4,,,,5,64,"M",2,2,"N",64,0
2019,128681420,117450181,1,4,,,,5,15,"M",1,1,"N",15,0
2019,128684488,117450181,2,4,,,,5,17,"M",2,2,"N",17,0
2019,128681421,117450181,3,4,,,,5,48,"F",1,2,"N",48,0
2019,128684489,117450181,4,4,,,,5,14,"M",1,1,"N",14,0
2019,128688134,117450180,1,4,,,,5,39,"F",2,2,"R",39,0
