"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2019,2244,121549353,8180938,"",05-MAR-20,12-JUN-19,"",20,6,,0,"C","F",67784211
2019,2244,121551726,8211586,"N",05-MAR-20,21-OCT-19,"",19,6,,0,"C","F",67779131
2019,2244,121551728,8211586,"N",05-MAR-20,28-OCT-19,"",14,5,30-JAN-20,0,"C","F",67766530
2019,2244,119076144,8211586,"",06-JAN-20,28-OCT-19,"",18,2,11-DEC-19,0,"C","F",62728041
2019,2244,119076145,8219248,"N",06-JAN-20,22-NOV-19,"",21,6,,0,"C","F",62736743
2019,2244,119076147,8219248,"",06-JAN-20,18-NOV-19,"R",,6,,0,"C","F",62728055
2019,2244,119076148,8226910,"",06-JAN-20,22-DEC-19,"R",,6,,0,"C","F",62728061
2019,2244,116497388,8196262,"N",09-OCT-19,12-AUG-19,"",18,6,,0,"C","F",57384519
2019,2244,116497389,8157952,"",09-OCT-19,30-MAR-19,"",1,6,,0,"C","F",57381036
2019,2244,116497390,8203924,"",09-OCT-19,28-SEP-19,"",18,6,,0,"C","F",57381037
2019,2244,114331727,8188600,"",05-SEP-19,16-JUL-19,"",23,2,28-AUG-19,0,"C","F",52291823
2019,2244,114331731,8165614,"N",05-SEP-19,15-APR-19,"R",,6,,0,"C","F",52275053
2019,2244,114346153,8142628,"",05-SEP-19,14-JAN-19,"",20,6,,0,"C","F",52296630
2019,2244,114331745,8150290,"",05-SEP-19,16-FEB-19,"",0,6,,0,"C","F",52291885
2019,2244,114331761,8142628,"",05-SEP-19,29-JAN-19,"",12,6,,0,"C","F",52291920
2019,2244,114331855,8180938,"",05-SEP-19,11-JUN-19,"",13,6,,0,"C","F",52275339
2019,2244,114331856,8188600,"",05-SEP-19,24-JUL-19,"",20,6,,0,"C","F",52275341
2019,2244,114331857,8188600,"",05-SEP-19,22-JUL-19,"",5,6,,0,"C","F",52275343
2019,2244,114331858,8188600,"N",05-SEP-19,23-JUL-19,"R",,6,,0,"C","F",52292408
2019,2244,114331861,8180938,"N",05-SEP-19,19-JUN-19,"R",,2,23-JUL-19,0,"C","F",52275353
2019,2244,114331863,8188600,"N",05-SEP-19,10-JUL-19,"R",,6,,0,"C","F",52292442
2019,2244,114331865,8180938,"N",05-SEP-19,15-JUN-19,"",18,6,,0,"C","F",52292457
2019,2244,114331866,8196262,"",05-SEP-19,13-AUG-19,"",14,6,,0,"C","F",52292861
2019,2244,114331867,8196262,"",05-SEP-19,12-AUG-19,"",9,6,,0,"C","F",52275362
2019,2244,114346602,8188600,"N",05-SEP-19,23-JUL-19,"",11,6,,0,"C","F",52292865
2019,2244,114331868,8196262,"",05-SEP-19,13-AUG-19,"",13,6,,0,"C","F",52292867
2019,2244,114331869,8188600,"",05-SEP-19,21-JUL-19,"",14,6,,0,"C","F",52292868
2019,2244,114331871,8196262,"",05-SEP-19,13-AUG-19,"",14,6,,0,"C","F",52292870
2019,2244,114331873,8196262,"",05-SEP-19,13-AUG-19,"R",,6,,0,"C","F",52275368
2019,2244,114331874,8188600,"",05-SEP-19,16-JUL-19,"R",,6,,0,"C","F",52275370
2019,2244,114331875,8188600,"N",05-SEP-19,16-JUL-19,"",22,6,,0,"C","F",52275371
2019,2244,114331877,8196262,"",05-SEP-19,12-AUG-19,"",16,6,,0,"C","F",52275373
2019,2244,114331878,8188600,"",05-SEP-19,11-JUL-19,"R",,6,,0,"C","F",52292880
2019,2244,114331879,8188600,"N",05-SEP-19,01-JUL-19,"",7,6,,0,"C","F",52275379
2019,2244,114331880,8188600,"",05-SEP-19,01-JUL-19,"",14,6,,0,"C","F",52275380
2019,2244,114331722,8180938,"N",05-SEP-19,11-JUN-19,"R",,6,,0,"C","F",52291811
2019,2244,114331735,8180938,"",05-SEP-19,18-JUN-19,"",7,6,,0,"C","F",52291851
2019,2244,114331746,8142628,"",05-SEP-19,15-JAN-19,"",16,6,,0,"C","F",52291888
2019,2244,114331774,8173276,"",05-SEP-19,16-MAY-19,"R",,6,,0,"C","F",52296723
2019,2244,114331775,8142628,"",05-SEP-19,27-JAN-19,"",1,6,,0,"C","F",52291960
2019,2244,114346615,8196262,"",05-SEP-19,12-AUG-19,"",17,6,,0,"C","F",52275381
2019,2244,114346616,8196262,"",05-SEP-19,09-AUG-19,"",19,6,,0,"C","F",52292892
2019,2244,114346617,8196262,"",05-SEP-19,11-AUG-19,"",16,6,,0,"C","F",52292901
2019,2244,114346618,8196262,"",05-SEP-19,12-AUG-19,"",18,6,,0,"C","F",52292903
2019,2244,114346619,8196262,"N",05-SEP-19,11-AUG-19,"",17,6,,0,"C","F",52292904
2019,2244,114346620,8196262,"",05-SEP-19,10-AUG-19,"",15,6,,0,"C","F",52292905
2019,2244,114346622,8196262,"",05-SEP-19,12-AUG-19,"",16,6,,0,"C","F",52292913
2019,2244,114346623,8196262,"",05-SEP-19,12-AUG-19,"",14,6,,0,"C","F",52292918
2019,2244,114346624,8196262,"",05-SEP-19,12-AUG-19,"",14,6,,0,"C","F",52292919
2019,2244,114346626,8196262,"",05-SEP-19,09-AUG-19,"",17,6,,0,"C","F",52292924
2019,2244,114346628,8196262,"",05-SEP-19,09-AUG-19,"",17,6,,0,"C","F",52292926
2019,2244,114346629,8196262,"",05-SEP-19,10-AUG-19,"R",,6,,0,"C","F",52292927
2019,2244,114346630,8196262,"",05-SEP-19,11-AUG-19,"",17,6,,0,"C","F",52292928
