"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,116061485,4
2019,129586355,5
2019,129586364,5
2019,129586372,3
2019,129586387,5
2019,129586392,5
2019,129586394,4
2019,129586397,5
2019,129586409,5
2019,129586410,5
2019,129586434,4
2019,129586435,5
2019,129586436,4
2019,129586446,5
2019,129578509,5
2019,129586455,4
2019,123582091,5
2019,123580086,5
2019,123582163,4
2019,123572548,8
2019,123572548,3
2019,123579994,5
2019,123582259,5
2019,123572575,4
2019,123580075,5
2019,123572631,5
2019,123572632,4
2019,123580077,5
2019,123580115,5
2019,123572699,5
2019,123582296,5
2019,123580149,5
2019,116049917,5
2019,116054494,5
2019,116061572,5
2019,123572227,5
2019,123582020,5
2019,123582104,5
2019,123582157,5
2019,123579919,4
2019,123582143,3
2019,123582095,5
2019,123582105,4
2019,123579877,4
2019,123582106,4
2019,123572406,4
2019,123579894,5
2019,123572416,5
2019,123572461,4
2019,126049277,4
2019,126049294,5
2019,126049316,4
2019,126049315,4
2019,126049324,5
2019,126049322,5
2019,126058203,5
2019,126058210,5
2019,126049341,5
2019,126049345,5
2019,126058217,5
2019,126049347,5
2019,126058222,5
2019,126058223,5
2019,126049349,5
2019,126049352,5
2019,126049356,4
2019,126049357,5
2019,126049358,4
2019,126049364,5
2019,126049371,5
2019,126049373,5
2019,126053672,4
2019,126053691,5
2019,126049381,5
2019,126049385,5
2019,126049386,5
2019,126049391,4
2019,126049402,5
2019,126049403,5
2019,126049405,5
2019,126049406,5
2019,126049408,4
2019,126049409,5
2019,126049411,4
2019,126049417,5
2019,126053790,5
2019,126053966,5
2019,126049428,5
2019,126049430,4
2019,126049432,5
2019,126049434,4
2019,126049436,5
2019,126049437,4
2019,126049439,5
2019,123579702,5
2019,123579705,5
2019,123572279,5
2019,123582017,5
2019,123572298,5
2019,123580037,5
2019,123580071,4
2019,123572688,4
2019,116061443,1
2019,116061458,5
2019,116049980,1
2019,116061463,4
2019,116049994,5
2019,116054445,5
2019,116054484,5
2019,116061495,5
2019,116050011,4
2019,114309146,5
2019,114304413,4
2019,114309177,5
2019,114304426,4
2019,131683625,5
2019,131683626,5
2019,131683636,5
2019,131683642,5
2019,131683650,4
2019,131683621,4
2019,131683676,3
2019,131683676,8
2019,131683676,2
2019,131683678,4
2019,131683687,5
2019,131683694,4
2019,131688441,4
2019,135091405,5
2019,135091417,5
2019,135091430,5
2019,135091432,5
2019,135091440,5
2019,128684486,3
2019,128684505,4
2019,128684507,5
2019,128684510,5
2019,128688207,5
2019,128684526,5
2019,128688261,4
2019,128684536,4
2019,128684543,5
2019,128684544,5
2019,128684555,5
2019,128684557,4
2019,128684559,4
2019,128684563,5
2019,128688339,4
2019,128684564,5
2019,128684565,4
2019,128684566,5
2019,128684567,5
2019,128684568,4
2019,128684575,5
2019,128684585,5
2019,128684588,5
2019,128684589,4
2019,128684607,5
2019,128684621,5
2019,128684625,5
2019,128684624,4
2019,128684648,5
2019,128684652,5
2019,128684655,5
2019,128684657,5
2019,128684660,4
2019,128684662,5
2019,128684667,5
2019,128684674,4
2019,128684676,5
2019,128684681,5
2019,128684682,5
2019,128684696,5
2019,128684698,4
2019,128684716,2
2019,128684716,3
2019,128684716,4
2019,128684723,5
2019,128684720,5
2019,128684721,5
2019,128684722,5
2019,128684736,4
2019,128684739,5
2019,128684740,5
2019,128684747,5
2019,128684748,5
2019,128684750,4
2019,128684752,5
2019,128684755,5
2019,128684765,5
2019,128684767,5
2019,128684768,4
2019,130454678,5
2019,130454692,5
2019,130454694,5
2019,130454680,4
2019,130454691,5
2019,130454696,4
2019,130454714,5
2019,130454727,4
2019,130454754,5
2019,130454760,5
2019,130454763,4
2019,130454769,4
2019,130454778,5
2019,130454777,5
2019,130454790,5
2019,130454796,4
2019,130454806,5
2019,130454826,5
2019,130454839,5
2019,130454849,4
2019,130454856,5
2019,130454859,4
2019,130454858,4
2019,130454866,5
2019,130454868,5
2019,130454869,5
2019,130454872,4
2019,130454871,4
2019,130454873,4
2019,130454874,4
2019,130454880,5
2019,130454881,2
2019,130454890,5
2019,130454896,4
2019,130454898,5
2019,130454904,4
2019,130454912,5
2019,130454917,5
2019,130454920,4
2019,130454931,4
2019,130454938,4
2019,130454947,5
2019,130454949,5
2019,130454948,5
2019,130454960,5
2019,130454959,5
2019,130454962,4
2019,130454972,4
2019,130454681,5
2019,130454700,4
2019,130454703,4
2019,130454702,4
2019,130454705,5
2019,130454713,5
2019,130454732,4
2019,130454733,4
2019,130454736,5
2019,130454738,5
2019,130454739,5
2019,130454745,5
2019,130454752,5
2019,130454757,5
2019,130454762,4
2019,130454766,4
2019,130454767,4
2019,130454771,4
2019,130454772,4
2019,130454774,5
2019,130454783,4
2019,130454795,5
2019,130454797,5
2019,130454800,5
2019,130454803,5
2019,130454812,1
2019,130454812,8
2019,130454824,4
2019,130454823,5
2019,130454827,5
2019,130454837,5
2019,130454860,4
2019,130454867,5
2019,130454877,5
2019,130454878,5
2019,130454879,5
2019,130454883,5
2019,130454884,5
2019,130454887,4
