"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,130113203,1,11,15130641
2020,5,124073643,,,13764412
2020,5,124073646,20,1,13764413
2020,5,124073650,1,1,13764417
2020,5,124073672,1,2,13764419
2020,5,124073684,,,13764420
2020,11,124073686,3.3,1,13764421
2020,5,124073687,,,13764422
2020,5,124074716,1,3,13753847
2020,5,125636402,,,14208760
2020,5,125636419,,,14208761
2020,5,125636442,,,14208763
2020,5,125636443,,,14208764
2020,5,125636449,,,14208765
2020,5,125636450,,,14208766
2020,12,125636452,,,14208767
2020,4,125636457,1,11,14208768
2020,5,125636459,,,14208769
2020,1,125636467,7.5,1,14208770
2020,11,125636468,1,1,14208771
2020,5,125636473,,,14208772
2020,11,125636479,3,1,14208774
2020,5,125636487,,,14208775
2020,5,125636488,3.3,1,14208776
2020,5,125636498,10,1,14208777
2020,5,125636503,,,14208779
2020,5,125636510,,,14212523
2020,5,125636511,52.5,1,14208780
2020,14,125636513,14,9,14208781
2020,5,125636515,,,14208782
2020,5,125636516,,,14208783
2020,5,125636517,,,14208784
2020,5,125636518,,,14208785
2020,5,125636519,1,1,14208786
2020,5,125639818,25,1,14212512
2020,5,125636440,,,14208762
2020,5,125639871,,,14212522
2020,5,125636499,6,1,14208778
2020,5,127059221,,,14563175
2020,5,127806101,6.5,1,14707481
2020,5,127793269,,,14680476
2020,4,130115627,1,1,15125919
2020,18,127793284,,,14680479
2020,1,127793284,15,1,14680477
2020,11,127793284,20,1,14680478
2020,5,127793249,,,14680473
2020,5,127059709,10.5,1,14556047
2020,5,127059193,0.1,1,14563173
2020,5,127059225,,,14563176
2020,5,129376994,,,14978099
2020,5,129373287,,,14975008
2020,5,129373291,18.5,1,14975009
2020,10,129373240,0.5,7,14974999
2020,12,129373240,28,9,14975000
2020,5,130115597,,,15125917
2020,5,127059704,,,14556045
2020,5,127059215,4.2,1,14556043
2020,5,129376999,3.5,1,14978100
2020,8,129376976,0.2,1,14978097
2020,5,129376982,,,14978098
2020,5,127059213,,,14563174
2020,5,127793261,,,14680474
2020,5,127806170,,,14707485
2020,5,127806102,,,14707482
2020,5,127793319,,,14680481
2020,5,127793302,,,14707483
2020,5,127806169,,,14707486
2020,10,130113211,0.5,7,15125914
2020,5,127793266,,,14680475
2020,5,130113197,,,15130638
2020,5,133319630,,,15862473
2020,10,131119617,1,11,15312472
2020,10,133317905,1,3,15851884
2020,5,133317916,,,15851887
2020,10,131114640,1,1,15312473
2020,8,131114640,1.1,1,15307475
2020,5,132418759,,,15661052
2020,4,132419884,1,11,15661048
2020,5,133317942,,,15862477
2020,5,133317919,1,1,15862474
2020,5,132418726,1,3,15661044
2020,5,132419871,1,3,15661043
2020,10,132418730,2,9,15661045
2020,5,132418750,,,15661049
2020,5,132418754,,,15662682
2020,5,132419875,1,11,15661047
2020,5,132418755,,,15661050
2020,5,132418762,,,15661053
2020,5,132419889,,,15662683
2020,4,131119642,2,1,15307474
2020,4,131114623,1,11,15307473
2020,5,132418731,1,1,15662680
2020,5,132418732,,,15662681
2020,5,132418757,,,15661051
2020,5,132418790,1,11,15661055
2020,5,133317965,,,15851893
2020,5,134040325,12,1,15997524
2020,5,132418734,1,11,15661046
2020,5,132419899,18.95,3,15662684
2020,5,133317906,,,15851885
2020,5,133319695,0.5,1,15862480
2020,5,133319641,2.45,3,15851890
2020,11,133317931,10,1,15862476
2020,5,132419894,,,15661054
2020,12,134040277,1,1,15997515
2020,17,134040302,183,9,15997517
2020,5,134032400,,,15997523
2020,5,134040323,8.9,3,15997521
2020,2,134040323,0.95,3,15997522
2020,5,134040278,2,1,15997516
2020,5,134040307,,,15997519
2020,10,134040317,1,7,15997520
2020,11,134032419,3,1,15985141
2020,10,134032366,0.5,7,15985134
2020,5,134040306,,,15997518
2020,5,134032391,,,15985137
2020,5,134032422,1,1,15985142
2020,5,133319671,,,15862478
2020,5,133319676,3,1,15851892
2020,5,133317917,,,15851888
2020,11,133317921,2,1,15851889
2020,4,134040354,1,11,15985140
2020,5,133317930,,,15851891
2020,5,133317909,,,15851886
2020,5,134032388,,,15985136
2020,5,134032402,,,15985138
2020,11,134040335,1.5,1,15997525
2020,5,134040335,16,1,15997527
2020,11,134040335,14,9,15997526
2020,5,133319647,,,15862475
2020,5,134032375,1,1,15985135
2020,10,134032414,3,1,15985139
2020,10,134040344,1,9,15997529
2020,5,134040339,,,15997528
2020,4,134040358,1,1,15997531
2020,5,134040346,,,15997530
2020,5,135462396,,,16207868
2020,12,136695446,1,9,16421201
2020,5,135462393,,,16202878
