"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,133324611,147151353
2020,133324612,147147263
2020,133333796,147151355
2020,133333798,147151357
2020,133333800,147151359
2020,133333801,147151360
2020,135520485,149583860
2020,135520476,149583851
2020,135520459,149583835
2020,135520471,149583847
2020,135520493,149583869
2020,135520493,149583870
2020,135520496,149583874
2020,135520499,149583877
2020,135520508,149583885
2020,135520515,149583893
2020,135520519,149583897
2020,135520521,149583899
2020,135520524,149583902
2020,135520526,149583904
2020,135520526,149583905
2020,135520529,149583908
2020,135520532,149583911
2020,135520583,149583963
2020,135520438,149583813
2020,135520443,149583818
2020,131683841,145496963
2020,131683838,145496961
2020,131683836,145496959
2020,131683837,145496960
2020,131683840,145496963
2020,131683842,145496964
2020,131683843,145496965
2020,131683844,145496966
2020,131683846,145496968
2020,131683848,145496970
2020,131683849,145496971
2020,131683850,145496972
2020,135520460,149583836
2020,135520409,149583785
2020,135520430,149579338
2020,135520457,149583833
2020,135520421,149579337
2020,135520436,149583811
2020,131683622,145496739
2020,131683688,145496809
2020,135520437,149583812
2020,135520445,149583820
2020,135520445,149583821
2020,135520450,149583826
2020,135520461,149583837
2020,135520425,149583801
2020,135520419,149583795
2020,135520479,149583854
2020,135520492,149583868
2020,135520491,149583867
2020,135520494,149583871
2020,135520500,149583878
2020,135520501,149583879
2020,135520507,149583886
2020,135520510,149583888
2020,135520517,149583895
2020,135520563,149583940
2020,135520567,149583944
2020,135520569,149583946
2020,135520569,149583947
2020,135520572,149583951
2020,135520574,149583953
2020,135520577,149583956
2020,135520581,149583960
2020,135520522,149583900
2020,135520523,149583901
2020,135520527,149583906
2020,135520530,149583909
2020,135520533,149583912
2020,135520535,149583914
2020,135520540,149583919
2020,135520543,149583921
2020,135520551,149583929
2020,135520550,149583927
2020,135520550,149583928
2020,135520553,149583931
2020,135520555,149583933
2020,135520429,149583805
2020,135520456,149583832
2020,135520474,149583850
2020,135520475,149583850
2020,135520483,149583859
2020,135520484,149583859
2020,135520490,149583865
2020,135520502,149583880
2020,135520505,149583883
2020,135520536,149583915
2020,135520538,149583917
2020,135520544,149583922
2020,135520548,149583925
2020,135520554,149583932
2020,135520559,149583935
2020,135520560,149583936
2020,135520561,149583937
2020,135520562,149583938
2020,135520562,149583939
2020,135520565,149583942
2020,135520570,149583948
2020,135520570,149583949
2020,135520584,149583962
2020,135520587,149583965
2020,135520599,149583975
2020,135520598,149583975
2020,135520600,149583976
2020,135520603,149583979
2020,135520604,149583980
2020,135520605,149583981
2020,135520609,149583985
2020,135520611,149583986
2020,135520610,149583987
2020,135520624,149584000
2020,135520625,149584001
2020,135520625,149584002
2020,135520626,149584003
2020,135520626,149584004
2020,135520627,149584005
2020,135520628,149584006
2020,135520629,149584007
2020,135520630,149584008
2020,135520631,149584009
2020,135520632,149584010
2020,135520634,149584012
2020,135520635,149584013
2020,135520635,149584014
2020,135520636,149584015
2020,135520638,149584017
2020,135520518,149583896
2020,135520520,149583898
2020,135520525,149583903
2020,135520528,149583907
2020,135520534,149583913
2020,135520539,149583918
2020,135520545,149583923
2020,135520547,149583924
2020,135520546,149583924
2020,135520552,149583930
2020,135520558,149583934
2020,135520557,149583934
2020,135520556,149583934
2020,135520564,149583941
2020,135520566,149583943
2020,135520568,149583945
2020,135520571,149583950
2020,135520641,149584020
2020,135520642,149584021
2020,135520643,149584022
2020,135520417,149583793
2020,135520442,149583817
2020,135520444,149583819
2020,135520453,149583828
2020,135520453,149583830
2020,135520467,149583842
2020,135520469,149583845
2020,135520472,149583848
2020,135520478,149583853
2020,135520488,149583864
2020,135520489,149583866
2020,135520511,149583889
2020,135520514,149583892
2020,135520612,149583988
2020,135520615,149583991
2020,135520616,149583992
2020,135520617,149583993
2020,135520618,149583994
2020,135520619,149583995
2020,135520620,149583996
2020,135520622,149583998
2020,135520623,149583999
2020,135520573,149583952
2020,135520575,149583954
2020,135520576,149583955
2020,135520578,149583957
2020,135520580,149583959
2020,135520582,149583961
2020,135520586,149583966
2020,135520590,149583969
2020,135520589,149583968
2020,135520591,149583970
2020,135520592,149583971
2020,135520597,149583974
2020,135520595,149583974
2020,135520596,149583974
2020,135520435,149583810
2020,135520512,149583890
2020,135520446,149583822
2020,135520448,149583824
2020,135520463,149583839
2020,135520463,149583840
2020,135520477,149583852
2020,135520481,149583857
2020,135520482,149583858
2020,135520495,149583872
2020,135520495,149583873
2020,135520504,149583882
2020,135520506,149583884
2020,137773102,151872718
2020,137773097,151872717
2020,137773099,151872718
2020,137765624,151872717
2020,140601224,154698639
2020,141868004,156005251
2020,141868002,156009663
2020,140601236,154693995
2020,140601177,154693941
2020,140601217,154693976
2020,141862062,156005251
2020,141862057,156005251
2020,140601132,154698589
2020,140601146,154693915
2020,140601045,154693828
2020,140601053,154693833
2020,140601061,154693840
2020,140601100,154693874
2020,140601103,154698570
2020,140601142,154698595
2020,140601159,154698607
2020,140601158,154693924
2020,140601173,154693938
2020,140601175,154693940
2020,140601216,154693977
2020,140601059,154698548
2020,140601166,154698617
2020,140601180,154693943
2020,140601190,154693959
2020,140605354,154698555
2020,140605336,154693830
2020,140605396,154693928
2020,140605329,154698529
2020,140605375,154698582
2020,140601123,154693894
2020,143519354,157664568
2020,143519350,157664562
2020,143519340,157664549
2020,143519344,157664557
2020,143519359,157664571
2020,140601136,154693901
2020,140601153,154698601
2020,140605402,154698616
2020,140601171,154693936
2020,140601181,154693946
2020,140601187,154693956
2020,140605419,154698640
2020,140605422,154698645
2020,140601117,154698585
2020,140605417,154698638
2020,140601229,154693990
2020,133332786,147145896
2020,143519405,157664618
2020,143519417,157664634
2020,143519442,157668644
2020,143523918,157668622
2020,133332779,147145888
2020,133332781,147145891
2020,133332785,147145895
2020,133332791,147145902
2020,133332795,147151368
2020,133332796,147151367
2020,131683786,145496906
2020,131683787,145496907
2020,131683788,145496908
2020,131683789,145496909
2020,131683789,145496910
2020,131683790,145496911
2020,135091442,148901542
2020,135091428,148901533
2020,135091406,148901513
2020,135091425,148906529
2020,136791673,150859204
2020,136791668,150859199
2020,136791668,150861258
2020,136791622,150861214
2020,136791651,150861238
2020,136791674,150859207
2020,136791682,150861273
2020,136791678,150861273
2020,135092908,148906610
2020,135092907,148906609
2020,135092904,148906607
2020,135091594,148901686
2020,131683852,145496974
2020,135092909,148906611
2020,135092910,148906612
2020,135092911,148906613
2020,131683854,145496976
2020,131683855,145496977
2020,135092912,148906614
2020,135092913,148906615
2020,131683870,145496991
2020,131683876,145496995
2020,131683878,145496997
2020,131683879,145496998
2020,131683882,145497001
2020,131683883,145497002
2020,131683884,145497003
2020,131683885,145497004
2020,131683858,145496980
2020,131683861,145496983
2020,131683862,145496984
2020,131683863,145496985
2020,131683864,145496986
2020,131683865,145496987
2020,131683867,145496988
2020,131683866,145496988
2020,131683868,145496989
2020,133333803,147151361
2020,133333803,147151362
2020,133333806,147151365
2020,133333807,147151366
2020,133333808,147145906
2020,133333814,147151376
2020,133333815,147151377
2020,133333819,147151381
2020,133333821,147151383
2020,133333823,147151385
2020,133333827,147151389
2020,133333830,147151391
2020,133333832,147151392
2020,133333833,147151393
2020,133333839,147151400
2020,133333838,147151399
2020,133333838,147151400
2020,133333840,147151400
2020,133332835,147145939
2020,135091431,148901536
2020,135091418,148906524
2020,135091438,148901539
2020,140601070,154693848
2020,131683718,145496840
2020,131683721,145496843
2020,131683722,145496843
2020,131683723,145496844
2020,131683731,145496851
2020,131683731,145496852
2020,131683736,145496857
2020,131683746,145496863
2020,131683747,145496864
2020,131683748,145496866
2020,131683749,145496867
2020,131683750,145496868
2020,131683750,145496869
2020,131683751,145496870
2020,131683792,145496913
2020,131683793,145496914
2020,131683793,145496915
2020,131683797,145496919
2020,131683798,145496920
2020,144677996,158826196
2020,144678009,158812780
2020,144671186,158812759
2020,144671191,158826196
2020,144678081,158826278
2020,144678091,158812819
2020,144678129,158812858
2020,135087806,148906509
2020,139682615,153780422
2020,139682645,153780453
2020,139682648,153780455
2020,139682652,153780459
2020,139682611,153780418
2020,139682561,153780374
2020,139682583,153780392
2020,139685256,153774729
2020,139682624,153780430
2020,139685241,153774717
2020,139685267,153774742
2020,139682568,153780379
2020,139682575,153774658
2020,139682600,153780410
2020,139682613,153780420
2020,139685224,153774700
2020,139685229,153774708
2020,139682622,153780429
2020,141867961,156005194
2020,139682647,153780454
2020,141867965,156005197
2020,141861992,156005202
2020,141861992,156005204
2020,141861998,156009620
2020,141862014,156005220
2020,141862018,156009636
2020,141867983,156005227
2020,140605391,154693922
2020,140601182,154693949
2020,140601183,154693951
2020,139682597,153780405
2020,139682620,153774707
2020,139682621,153780426
2020,139682557,153774642
2020,139682601,153780411
2020,139685213,153780414
2020,139682661,153780467
2020,139682552,153780364
2020,139682578,153780390
2020,139682589,153780399
2020,139685228,153774706
2020,139682626,153780428
2020,139682625,153774712
2020,139685250,153774724
2020,139682654,153780462
2020,139682660,153774736
2020,139682598,153780406
2020,139682631,153780438
2020,139682562,153780375
2020,139682563,153780375
2020,139682564,153780375
2020,139685251,153780452
2020,139682650,153780457
2020,139682656,153780464
2020,139682663,153780470
2020,139682569,153780380
2020,139682569,153780381
2020,139682581,153774662
2020,139685195,153780403
2020,139682629,153780435
2020,139682680,153780486
2020,140605338,154693831
2020,140605380,154698592
2020,140601138,154693905
2020,140601160,154693925
2020,140605416,154698635
2020,139682677,153780484
2020,139682623,153780427
2020,139682649,153780456
2020,139682673,153780478
2020,139682670,153780478
2020,140601041,154698530
2020,140601188,154693957
2020,139682560,153780373
2020,139682596,153780404
2020,139685242,153780442
2020,139682655,153780463
2020,139682657,153774734
2020,139685270,153774743
2020,140601051,154698542
2020,140601052,154698542
2020,140601079,154698563
2020,140601179,154693944
2020,140605421,154698644
2020,140601127,154698588
2020,140605406,154698623
2020,140601191,154693953
2020,140605420,154698641
2020,140605425,154693996
2020,139682678,153780485
2020,139682586,153780398
2020,139682674,153780480
2020,139682646,153774731
2020,139682665,153780472
2020,139682675,153780481
2020,139682556,153780367
2020,139682559,153780370
2020,139685222,153774699
2020,139682627,153780431
2020,139685255,153774727
2020,139682653,153780460
2020,139682658,153774735
2020,139682667,153780474
2020,139685194,153780396
2020,139682585,153774665
2020,139685193,153780395
2020,139682592,153774670
2020,139682593,153774671
2020,140601072,154693849
2020,140601072,154698557
2020,140605381,154698591
2020,140605382,154698593
2020,140605388,154698603
2020,140605390,154698605
2020,140601198,154693961
2020,140601198,154698626
2020,140601230,154693989
2020,140601231,154693991
2020,131683979,145497099
2020,141861983,156005190
2020,131683975,145497095
2020,131683976,145497096
2020,131683977,145497097
2020,131683978,145497098
2020,131683980,145497100
2020,131683980,145497101
2020,131683981,145497102
2020,131683982,145497102
2020,131683983,145497103
2020,131683984,145497104
2020,131683985,145497105
2020,131683986,145497106
2020,131683987,145497107
2020,131683988,145497108
2020,131683989,145497108
2020,131683990,145497109
2020,131683991,145497110
2020,136791596,150859148
2020,136791629,150859167
2020,136791643,150859174
2020,136791655,150861246
2020,136791676,150861272
2020,136791599,150861193
2020,136791600,150861194
2020,136791604,150861198
2020,136791610,150861204
2020,136791615,150861206
2020,136791623,150861213
2020,136791638,150859170
2020,136802629,150859184
2020,136802603,150859155
2020,136802628,150861241
2020,136802641,150861253
2020,139685179,153774649
2020,139685178,153774649
2020,139685231,153774710
2020,139682630,153780437
2020,139685245,153774722
2020,139682644,153780450
2020,139682644,153780451
2020,139685259,153774732
2020,139682668,153774744
2020,135092914,148906616
2020,135092915,148906617
2020,135092916,148906618
2020,135092918,148906619
2020,135092917,148906619
2020,135092919,148906621
2020,135092920,148906622
2020,135092921,148906623
2020,135092923,148906625
2020,135092924,148906626
2020,135092926,148906628
2020,135092927,148906629
2020,135092928,148906630
2020,135092930,148906631
2020,131683691,145496814
2020,131683692,145496814
2020,131683886,145497005
2020,131683888,145497007
2020,131683925,145497047
