"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,3,147151353
2020,4,147147263
2020,4,147151355
2020,4,147151357
2020,4,147151359
2020,4,147151360
2020,4,149583860
2020,4,149583835
2020,4,149583847
2020,4,149583851
2020,4,149583870
2020,4,149583869
2020,3,149583874
2020,4,149583877
2020,4,149583885
2020,4,149583893
2020,4,149583897
2020,4,149583899
2020,4,149583902
2020,4,149583904
2020,4,149583905
2020,4,149583908
2020,4,149583911
2020,4,149583963
2020,4,149583813
2020,4,149583818
2020,4,145496960
2020,4,145496963
2020,4,145496961
2020,4,145496959
2020,4,145496964
2020,4,145496965
2020,3,145496966
2020,4,145496968
2020,4,145496970
2020,4,145496971
2020,4,145496972
2020,4,149583837
2020,4,145496739
2020,3,145496809
2020,4,149583836
2020,4,149583785
2020,4,149583833
2020,4,149583811
2020,4,149583812
2020,4,149583820
2020,4,149583821
2020,4,149583826
2020,4,149579338
2020,4,149579337
2020,4,149583879
2020,4,149583801
2020,4,149583795
2020,4,149583854
2020,4,149583867
2020,4,149583868
2020,4,149583871
2020,4,149583878
2020,4,149583886
2020,4,149583888
2020,4,149583895
2020,4,149583940
2020,4,149583944
2020,4,149583947
2020,4,149583946
2020,4,149583951
2020,3,149583953
2020,4,149583956
2020,4,149583960
2020,4,149583900
2020,4,149583901
2020,4,149583906
2020,4,149583909
2020,4,149583912
2020,4,149583914
2020,4,149583919
2020,4,149583921
2020,4,149583927
2020,1,149583929
2020,1,149583928
2020,4,149583931
2020,4,149583933
2020,4,149583865
2020,4,151872717
2020,4,151872718
2020,4,149583805
2020,4,149583832
2020,4,149583850
2020,4,149583859
2020,3,149583880
2020,4,149583883
2020,3,149583915
2020,3,149583917
2020,4,149583922
2020,4,149583925
2020,4,149583932
2020,4,149583935
2020,4,149583936
2020,4,149583937
2020,4,149583938
2020,4,149583939
2020,4,149583942
2020,4,149583948
2020,4,149583949
2020,4,149583962
2020,4,149583965
2020,4,149583981
2020,4,149583975
2020,4,149583976
2020,1,149583979
2020,4,149583980
2020,4,149583985
2020,4,149583986
2020,4,149583987
2020,4,149584000
2020,4,149584001
2020,4,149584002
2020,4,149584004
2020,4,149584003
2020,4,149584008
2020,4,154693995
2020,4,149584005
2020,4,149584006
2020,4,149584007
2020,4,149584009
2020,4,149584010
2020,4,149584012
2020,4,149584013
2020,4,149584014
2020,4,149584015
2020,4,149584017
2020,4,149583896
2020,4,149583898
2020,4,149583903
2020,4,149583907
2020,4,149583913
2020,4,149583918
2020,4,149583923
2020,4,149583924
2020,4,149583930
2020,4,149583934
2020,4,149583941
2020,4,149583943
2020,4,149583945
2020,4,149583950
2020,4,149584020
2020,1,149584021
2020,4,149584022
2020,4,149583793
2020,4,149583817
2020,4,149583819
2020,4,149583828
2020,4,149583830
2020,4,149583842
2020,4,149583845
2020,4,149583848
2020,4,149583853
2020,4,149583864
2020,4,149583866
2020,4,149583889
2020,4,149583892
2020,4,149583988
2020,4,149583991
2020,4,149583992
2020,4,149583993
2020,4,149583994
2020,4,149583995
2020,4,149583996
2020,4,149583998
2020,4,149583999
2020,4,149583952
2020,4,149583954
2020,4,149583955
2020,4,149583957
2020,4,149583959
2020,4,149583961
2020,4,149583966
2020,4,149583969
2020,4,149583968
2020,4,149583970
2020,4,149583971
2020,4,149583974
2020,4,149583839
2020,4,149583810
2020,4,149583890
2020,4,149583822
2020,4,149583824
2020,4,149583840
2020,4,149583852
2020,4,149583857
2020,4,149583858
2020,4,149583873
2020,4,149583872
2020,4,149583882
2020,4,149583884
2020,4,154698607
2020,4,154693915
2020,4,154693941
2020,4,154693976
2020,4,154693874
2020,4,154693924
2020,4,154698589
2020,4,154698570
2020,4,154698639
2020,4,154698595
2020,4,154693828
2020,4,154693833
2020,4,154693840
2020,4,154693928
2020,4,154693938
2020,4,154693940
2020,4,154693977
2020,4,154693959
2020,4,154698529
2020,4,154693830
2020,4,154698548
2020,4,154698617
2020,4,154693943
2020,4,156009663
2020,4,156005251
2020,4,154698555
2020,4,154698582
2020,4,154693894
2020,4,157664557
2020,4,157664571
2020,4,157664562
2020,4,157664549
2020,4,154693901
2020,4,157664618
2020,4,154693946
2020,4,154698640
2020,4,154698645
2020,4,157664568
2020,4,154698601
2020,4,154698616
2020,4,154693936
2020,4,154693956
2020,3,154698585
2020,4,154698638
2020,4,154693990
2020,4,157668622
2020,4,157668644
2020,4,157664634
2020,3,147145896
2020,4,147145895
2020,4,147145888
2020,4,147145891
2020,3,147145902
2020,4,147151368
2020,4,147151367
2020,4,145496906
2020,4,145496907
2020,3,145496908
2020,4,145496909
2020,3,145496910
2020,4,145496911
2020,4,148901533
2020,4,148901513
2020,4,148901542
2020,4,148906529
2020,4,150861214
2020,4,150859207
2020,4,150861258
2020,4,150861238
2020,4,150859199
2020,3,150859204
2020,4,150861273
2020,3,145496974
2020,4,148906612
2020,4,148906609
2020,4,148906607
2020,3,148906610
2020,4,148906611
2020,3,148901686
2020,4,148906613
2020,3,145496976
2020,4,145496977
2020,4,148906614
2020,4,148906615
2020,4,145496991
2020,4,145496995
2020,4,145496997
2020,4,145496998
2020,4,145497001
2020,4,145497002
2020,1,145497003
2020,4,145497004
2020,4,145496980
2020,3,145496983
2020,3,145496984
2020,3,145496985
2020,3,145496986
2020,4,145496987
2020,4,145496988
2020,4,145496989
2020,4,147151362
2020,4,147151361
2020,4,147151365
2020,4,147151366
2020,4,147145906
2020,3,147151376
2020,3,147151377
2020,4,147151381
2020,4,147151383
2020,4,147151385
2020,4,147145939
2020,4,147151389
2020,3,147151391
2020,3,147151392
2020,4,147151393
2020,4,147151399
2020,4,147151400
2020,4,148901539
2020,4,148906509
2020,4,148901536
2020,4,148906524
2020,4,158826196
2020,4,158812780
2020,4,158812759
2020,4,158812819
2020,4,158826278
2020,4,158812858
2020,4,154693848
2020,3,145496840
2020,4,145496843
2020,4,145496844
2020,4,145496851
2020,3,145496852
2020,4,145496857
2020,4,145496863
2020,3,145496864
2020,4,145496866
2020,4,145496867
2020,4,145496868
2020,4,145496869
2020,3,145496870
2020,4,145496913
2020,3,145496915
2020,3,145496914
2020,3,145496919
2020,4,145496920
2020,4,153780420
2020,4,153780422
2020,4,153780418
2020,4,153780430
2020,4,153780453
2020,4,153780374
2020,4,153780392
2020,4,153780455
2020,4,153780459
2020,4,156005190
2020,4,153780379
2020,4,153780410
2020,4,153774729
2020,4,153774717
2020,4,153774658
2020,4,153774742
2020,4,153774700
2020,4,153774708
2020,4,153780429
2020,4,153780454
2020,4,156005197
2020,4,156009620
2020,4,156005220
2020,4,156005194
2020,4,156005202
2020,4,156005204
2020,4,156009636
2020,4,156005227
2020,4,153780405
2020,3,153774707
2020,1,153774707
2020,3,153780426
2020,1,153780426
2020,4,153780414
2020,4,154693922
2020,4,154693949
2020,4,154693951
2020,4,153774642
2020,4,153780411
2020,4,153780467
2020,4,153774706
2020,4,153780364
2020,4,153780390
2020,4,153780399
2020,4,153780428
2020,4,153774712
2020,4,153774724
2020,3,153780462
2020,4,153774736
2020,4,153780464
2020,4,153780406
2020,4,153780438
2020,4,153780375
2020,4,153780452
2020,1,153780457
2020,4,153780470
2020,4,153780403
2020,4,153780380
2020,4,153780381
2020,3,153774662
2020,4,153780435
2020,1,154693831
