"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,135087850,10,
2020,135092945,10,
2020,135091436,2,
2020,137773023,1,
2020,137765496,10,
2020,140601193,1,
2020,139682636,1,
2020,139682665,1,
2020,139682585,1,
2020,136802598,9,
2020,136791597,9,
2020,136791622,10,
2020,136791633,1,
2020,131683746,1,
2020,133332822,9,
2020,131683777,10,
2020,131683888,1,
2020,131683950,9,
2020,139685174,10,
2020,139685187,1,
2020,139685205,1,
2020,139682640,1,
2020,139685261,1,
2020,139685265,9,
2020,133333859,6,
2020,143519362,1,
2020,143519393,9,
2020,143519440,1,
2020,140605375,1,
2020,140605380,1,
2020,144677998,6,
2020,144678022,10,
2020,144671228,10,
2020,144678047,1,
2020,144678092,1,
2020,140601162,1,
2020,140601218,10,
2020,140601144,1,
2020,140605394,9,
2020,140601048,10,
2020,140601173,10,
2020,140601224,10,
2020,140605363,1,
2020,140605358,1,
2020,136791631,9,
2020,136791604,10,
2020,140601122,1,
2020,145569840,1,
2020,145569873,10,
2020,141861944,9,
2020,141862015,1,
2020,147386437,10,
2020,145574422,9,
2020,147386463,1,
2020,145574328,9,
2020,145574313,6,
2020,145569837,9,
2020,145574351,1,
2020,145574352,1,
2020,148971877,1,
2020,143523908,9,
2020,145569923,10,
2020,145569943,10,
2020,145569822,9,
2020,145574411,1,
2020,141862014,10,
2020,141861998,1,
2020,141868017,10,
2020,141862066,1,
2020,143519375,1,
2020,148977394,1,
2020,144678067,10,
2020,147386507,1,
2020,143523863,1,
2020,145574394,10,
2020,145569880,10,
2020,145569879,10,
2020,145574358,10,
2020,145574357,10,
2020,143519394,10,
2020,137765543,9,
2020,133332877,9,
2020,133337992,1,
2020,133337991,1,
2020,133338003,1,
2020,136791608,10,
2020,140601230,1,
2020,137765597,1,
2020,141861963,10,
2020,145569941,1,
2020,143523881,1,
2020,143519413,1,
2020,141867982,1,
2020,147386449,1,
2020,147390037,9,
2020,143519434,1,
2020,144677992,10,
2020,136802606,1,
2020,136802586,10,
2020,139682625,9,
2020,136802616,1,
2020,139682673,10,
2020,139682670,10,
2020,139685195,1,
2020,135520507,9,
2020,135520540,1,
2020,135520524,1,
2020,135520583,10,
2020,140601073,6,
2020,135520565,1,
2020,135520518,1,
2020,135520545,9,
2020,135520589,1,
2020,135520603,1,
2020,135520604,1,
2020,135091467,6,
2020,135091509,1,
2020,135091539,1,
2020,135091541,10,
2020,135091590,10,
2020,140601187,10,
2020,139685220,1,
2020,139685252,1,
2020,143519421,1,
2020,148977275,9,
2020,144671190,9,
2020,144671212,1,
2020,144678064,1,
2020,141868004,1,
2020,141862062,1,
2020,141862057,1,
2020,141862001,10,
